"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	11.992915311828	12.0269559777531	357.866666666667	383.934482758621	-0.279040910978249	-0.238704372307886	29.671364230278	30.3230054467488	5
"2"	5	11.992915311828	12.0269559777531	357.866666666667	383.934482758621	-0.226083480091494	-0.179779246100381	48.8187779723419	49.5711564620152	5
"3"	9	10.336074437276	10.4201279124954	856.3	886.875862068965	-0.157303129681659	-0.150545644181671	35.1766342128646	34.9494337822333	5
"4"	13	10.336074437276	10.4201279124954	856.3	886.875862068965	-0.134728617632837	-0.116796451810024	55.4352749845687	55.1280384430855	5
"5"	17	8.41398394265233	8.56944366481276	1167.9	1217.74482758621	-0.0537156187696498	-0.0506988017582661	38.9663733023177	38.8221293431181	5
"6"	21	8.41398394265233	8.56944366481276	1167.9	1217.74482758621	-0.0331297168184908	-0.0362312911981417	60.1314195555502	59.9468205881087	5
"7"	25	15.2579974623656	14.2891380348535	482.166666666667	451.431034482759	-0.187369729673234	-0.245025009596168	30.8051609025968	30.9786459106107	5
"8"	29	15.2579974623656	14.2891380348535	482.166666666667	451.431034482759	-0.0998346237227983	-0.180533022232672	51.0889864874999	50.4379120941826	5
"9"	33	13.6496850035842	12.7198534801631	1106.43333333333	1008.49310344828	-0.08999910876869	-0.195647482542098	35.3815933266266	33.9772117575696	5
"10"	37	13.6496850035842	12.7198534801631	1106.43333333333	1008.49310344828	-0.0543172402821021	-0.142444707646335	56.4694283084101	54.0636214987283	5
"11"	41	11.7953014910394	10.8733496536893	1542.2	1388.78965517241	-0.0450464086264541	-0.0897984703741811	38.4024331467833	37.3333405023431	5
"12"	45	11.7953014910394	10.8733496536893	1542.2	1388.78965517241	-0.0247377294640499	-0.0658409217768315	59.7324020587726	58.1646616614539	5
"13"	49	14.4145493189964	14.5427555965888	456.433333333333	454.293103448276	-0.196963925004157	-0.260141350463838	31.7146590109776	30.3513792546373	5
"14"	53	14.4145493189964	14.5427555965888	456.433333333333	454.293103448276	-0.127378954323593	-0.194585648433991	51.9264071847975	49.7346888528762	5
"15"	57	12.8055642580645	13.0173971034483	1037.2	1070.28275862069	-0.186854852408192	-0.231854460912313	34.3975859826543	33.1921407289037	5
"16"	61	12.8055642580645	13.0173971034483	1037.2	1070.28275862069	-0.130871534079239	-0.1713320740062	54.454322383899	52.8446669348457	5
"17"	65	10.9860575197133	11.2016693081201	1436.36666666667	1472.15172413793	-0.0421691768285467	-0.0776902700077181	38.8338331425074	37.8031041134413	5
"18"	69	10.9860575197133	11.2016693081201	1436.36666666667	1472.15172413793	-0.023887914912094	-0.0541180496939458	60.0607142367368	58.6558447879475	5
"19"	73	14.7565786810036	15.1466027185762	402.566666666667	441.313793103448	-0.336844154991336	-0.323491155955098	29.49570461668	29.4605460526974	5
"20"	77	14.7565786810036	15.1466027185762	402.566666666667	441.313793103448	-0.258852418052518	-0.252394851253939	48.7524187586101	48.3175847747168	5
"21"	81	13.2629489318996	13.6465086955877	943	1040.55862068966	-0.288092552470804	-0.275306683631085	32.1638749241547	32.3028976330597	5
"22"	85	13.2629489318996	13.6465086955877	943	1040.55862068966	-0.222464837204966	-0.208510117529076	51.2737457558164	51.399772604698	5
"23"	89	11.4433784659498	11.8257742825362	1321.53333333333	1441.31379310345	-0.131767410219891	-0.119206766114863	35.7296193630989	36.1266552366569	5
"24"	93	11.4433784659498	11.8257742825362	1321.53333333333	1441.31379310345	-0.0900038430978598	-0.075765272712467	56.4476690325556	56.8270114106962	5
"25"	97	16.7676216630824	17.5053860022247	580.933333333333	473.210344827586	-0.195627804855921	-0.325048852132575	31.4637347502467	29.2174083303276	5
"26"	101	16.7676216630824	17.5053860022247	580.933333333333	473.210344827586	-0.135752447483542	-0.244438988714554	51.8536960302783	48.208097093555	5
"27"	105	15.3449990537634	16.078955667779	1330.46666666667	1119.91724137931	-0.306545596690563	-0.307465792090879	31.813486366276	31.45128029386	5
"28"	109	15.3449990537634	16.078955667779	1330.46666666667	1119.91724137931	-0.239940598069742	-0.237669693210333	51.121310686631	50.560210925746	5
"29"	113	13.5473929605735	14.2893441394142	1808.6	1508.75517241379	-0.214248167218559	-0.233894957078355	33.4463194591799	32.9983268605273	5
"30"	117	13.5473929605735	14.2893441394142	1808.6	1508.75517241379	-0.161705449329751	-0.175504046540551	53.2203122883203	52.6500880329855	5
"31"	2	12.9901587670251	12.2328874482759	380.833333333333	386.093103448276	-0.321863739094804	-0.26901459753499	29.2761748287374	29.9482691428978	5
"32"	6	12.9901587670251	12.2328874482759	380.833333333333	386.093103448276	-0.237393771312149	-0.209349956163388	47.9997543937927	48.9099146581145	5
"33"	10	11.2581656200717	10.6525257871709	890.966666666667	893.3	-0.237821635965079	-0.166635990055578	33.6542139078099	34.5890258876572	5
"34"	14	11.2581656200717	10.6525257871709	890.966666666667	893.3	-0.183805281014249	-0.1250923235634	53.3778097339782	54.5764961285598	5
"35"	18	9.38622650896057	8.80594916277345	1191.46666666667	1225.91724137931	-0.077753866596563	-0.0545962819844498	37.9185266530568	38.5788079783346	5
"36"	22	9.38622650896057	8.80594916277345	1191.46666666667	1225.91724137931	-0.0488573463779119	-0.0389770781538904	58.9182510022427	59.6168203193774	5
"37"	26	13.7070013189964	14.2767460274379	447.1	430.772413793103	-0.354840809120198	-0.286527026112653	30.3107768880942	30.4634220080689	5
"38"	30	13.7070013189964	14.2767460274379	447.1	430.772413793103	-0.300248177698221	-0.222448265462337	49.3877830401191	49.6474872670312	5
"39"	34	12.1679978494624	12.7130259592139	1034.8	986.489655172414	-0.313626533179729	-0.235426492400516	32.6825305590526	33.4080509740136	5
"40"	38	12.1679978494624	12.7130259592139	1034.8	986.489655172414	-0.2651635783539	-0.179815722165514	51.9697750687228	53.1948868724304	5
"41"	42	10.3477934623656	10.8746078769003	1376.23333333333	1348.88620689655	-0.165320193230869	-0.104226868430882	36.3233933006497	37.0418425425386	5
"42"	46	10.3477934623656	10.8746078769003	1376.23333333333	1348.88620689655	-0.115084796583217	-0.0731634152287702	56.7974585878574	57.8590360057957	5
"43"	50	13.2502246021505	14.3618895528365	534.733333333333	460.824137931034	-0.20452120119105	-0.256184403009991	32.6171628546214	30.7242238561677	5
"44"	54	13.2502246021505	14.3618895528365	534.733333333333	460.824137931034	-0.158182035741794	-0.198985616566048	52.8223621476495	50.0890259758124	5
"45"	58	11.674427655914	12.8207481349648	1234.96666666667	1063.8	-0.209917724967558	-0.238465116286481	33.885861956156	33.1787987886043	5
"46"	62	11.674427655914	12.8207481349648	1234.96666666667	1063.8	-0.142509654931838	-0.179393165132453	53.9039979463673	52.8112906396033	5
"47"	66	9.83500209318997	10.9921082224694	1684	1454.86896551724	-0.0220567953696678	-0.065050654064964	39.2996985925601	37.9224853982631	5
"48"	70	9.83500209318997	10.9921082224694	1684	1454.86896551724	-0.0187565205516153	-0.0436898827767566	60.6593243812358	58.9007481551307	5
"49"	74	15.5293661648746	15.1776714200964	487.5	474.886206896552	-0.17997559409327	-0.273544189103453	31.9129365789899	30.429938147948	5
"50"	78	15.5293661648746	15.1776714200964	487.5	474.886206896552	-0.104274702167507	-0.203941275865578	52.1018744273842	49.7341832576176	5
"51"	82	13.9199921433692	13.6493694015573	1123.93333333333	1080.42068965517	-0.18308641257676	-0.228225237858028	33.8654575670818	33.03934717279	5
"52"	86	13.9199921433692	13.6493694015573	1123.93333333333	1080.42068965517	-0.100565046809816	-0.16712574228845	53.9954198328654	52.4877528921199	5
"53"	90	12.0642532329749	11.8168800222469	1566.46666666667	1487.07586206897	-0.0770487622523792	-0.106539400516585	36.7918071171701	36.5110464297029	5
"54"	94	12.0642532329749	11.8168800222469	1566.46666666667	1487.07586206897	-0.0387580459897957	-0.0644389855410629	57.9626547497269	57.4050667301091	5
"55"	98	17.2763708673835	17.1941819918428	438.033333333333	449.479310344828	-0.345860941802491	-0.346742119289336	29.1781539865047	28.854203922943	5
"56"	102	17.2763708673835	17.1941819918428	438.033333333333	449.479310344828	-0.251440521180851	-0.266677693850937	47.7701720256028	47.4040056647511	5
"57"	106	15.7910424659498	15.7522662246941	1071.83333333333	1074.54482758621	-0.26268426717803	-0.282635217501661	33.1956838549274	31.9225355949205	5
"58"	110	15.7910424659498	15.7522662246941	1071.83333333333	1074.54482758621	-0.205308411371785	-0.22146007875427	52.3257873403472	51.0379730656923	5
"59"	114	13.9670933620072	13.9524323604004	1439.7	1439.94137931034	-0.219541517673466	-0.212388871667373	34.4118756829065	33.6603949800263	5
"60"	118	13.9670933620072	13.9524323604004	1439.7	1439.94137931034	-0.160389696134141	-0.161161633550446	54.3914137727096	53.4323104857558	5
