"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"long"	"LP"	11	1	"low"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	331.682129132808	-100
"3"	"long"	"LP"	11	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	1135.11895180333	-100
"5"	"long"	"LP"	11	100	"low"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	2971.81863972613	-100
"7"	"long"	"LP"	11	101	"low"	"8"	"2070"	"andesite"	"10"	34.8885251851833	0.587653393753167	0.403252714210086	6.83672046661377	326.639653019604	-89.3189559618197
"9"	"long"	"LP"	11	102	"low"	"8"	"2070"	"andesite"	"20"	0	NA	0	0	1240.24093834748	-100
"11"	"long"	"LP"	11	103	"low"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	2847.92667417269	-100
"13"	"long"	"LP"	11	104	"low"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	3788.90471158618	-100
"15"	"long"	"LP"	11	105	"med"	"8"	"2070"	"rhyolite"	"10"	46.8608322565466	0.972446148384386	0.797055849805474	9.0159912109375	331.24077672104	-85.8529397496217
"17"	"long"	"LP"	11	106	"med"	"8"	"2070"	"rhyolite"	"20"	0	NA	0	0	1054.67667767776	-100
"19"	"long"	"LP"	11	107	"med"	"8"	"2070"	"rhyolite"	"50"	0.769664005584797	0.763626098632812	0.763626098632812	0	2232.82029310999	-99.9655295140429
"21"	"long"	"LP"	11	108	"med"	"8"	"2070"	"rhyolite"	"100"	1.54787695971435	0.473457455635071	0.473457455635071	0	2968.80012687607	-99.9478618669643
"23"	"long"	"LP"	11	109	"med"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	325.892779815404	-100
"25"	"long"	"LP"	11	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	2152.71120698646	-100
"27"	"long"	"LP"	11	110	"med"	"8"	"2070"	"andesite"	"20"	85.9831217374368	0.693234583892561	0.595353601500392	9.01146602630615	1395.07417463227	-93.8366630749149
