"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"mid"	"DF"	1	1	"low"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	1476.95067199361	-100
"3"	"mid"	"DF"	1	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	93.2268692314865	-100
"5"	"mid"	"DF"	1	100	"low"	"8"	"2070"	"rhyolite"	"100"	139.85263529991	0.931165557873668	0.627285212278366	7.71036307017008	20023.9251691433	-99.3015723235152
"7"	"mid"	"DF"	1	101	"low"	"8"	"2070"	"andesite"	"10"	18.3160908965876	7.07987599033855	2.80234122276306	8.82908857785738	1129.66162529675	-98.3786214839531
"9"	"mid"	"DF"	1	102	"low"	"8"	"2070"	"andesite"	"20"	307.906730969512	0.326912552118301	0.326912552118301	0	279.840248447832	10.0294659818789
"11"	"mid"	"DF"	1	103	"low"	"8"	"2070"	"andesite"	"50"	13.2452684158691	5.28964919361702	2.29308247566223	8.90813755989075	134.530885609862	-90.1544776459138
"13"	"mid"	"DF"	1	104	"low"	"8"	"2070"	"andesite"	"100"	622.736126877729	0.669065805465972	0.625258423388004	9.71873823801676	21782.7692455289	-97.1411526245427
"15"	"mid"	"DF"	1	105	"med"	"8"	"2070"	"rhyolite"	"10"	14.0298387542641	5.83329616479652	2.89144539833069	7.47741116417779	1311.081039647	-98.9299030090435
"17"	"mid"	"DF"	1	106	"med"	"8"	"2070"	"rhyolite"	"20"	49.1583304715117	2.86375056207838	2.07449159026146	6.92432326078415	205.279197554806	-76.052941039782
"19"	"mid"	"DF"	1	107	"med"	"8"	"2070"	"rhyolite"	"50"	687.838016323007	1.30274738169444	1.23519124090672	6.39826700422499	106.059625184197	548.538984678114
"21"	"mid"	"DF"	1	108	"med"	"8"	"2070"	"rhyolite"	"100"	70.3721477273702	1.83257422599313	1.72677886486053	4.20846112569173	17325.6497148304	-99.5938267892653
"23"	"mid"	"DF"	1	109	"med"	"8"	"2070"	"andesite"	"10"	9	6.91965262095133	0	6.91965262095133	1373.85646942694	-99.344909734002
"25"	"mid"	"DF"	1	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	132.530885609862	-100
"27"	"mid"	"DF"	1	110	"med"	"8"	"2070"	"andesite"	"20"	105.851898786562	0.669662098126566	0.350886017084122	11.598570505778	160.81940369524	-34.1796472600059
"29"	"mid"	"DF"	1	111	"med"	"8"	"2070"	"andesite"	"50"	267.195054939634	0.258492528711998	0.167246699333191	8.29405816396078	221.854209482287	20.437225673181
