"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"mid"	"DF"	20	1	"low"	"0"	"hist"	"rhyolite"	"10"	6	5.24726597468058	0	5.24726597468058	1464.88319612996	-99.5904110296404
"3"	"mid"	"DF"	20	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	99.2968021066221	-100
"5"	"mid"	"DF"	20	100	"low"	"8"	"2070"	"rhyolite"	"100"	12.0244964989801	6.50943444215901	3.98171973228455	7.35888602998522	17977.9179808895	-99.9331151888013
"7"	"mid"	"DF"	20	101	"low"	"8"	"2070"	"andesite"	"10"	108.876395285542	2.35132832580007	2.16655795276165	8.87226867675781	1370.72446590584	-92.0570181685937
"9"	"mid"	"DF"	20	102	"low"	"8"	"2070"	"andesite"	"20"	114.696185737984	2.75475300601012	2.58338429530462	6.51445178985596	108.346139961047	5.86088787216601
"11"	"mid"	"DF"	20	103	"low"	"8"	"2070"	"andesite"	"50"	646.136470121191	0.732607444127401	0.732607444127401	0	214.953365484756	200.593790966726
"13"	"mid"	"DF"	20	104	"low"	"8"	"2070"	"andesite"	"100"	99.2780223802631	1.28065922856331	1.28065922856331	0	16622.2448194907	-99.4027399821241
"15"	"mid"	"DF"	20	105	"med"	"8"	"2070"	"rhyolite"	"10"	279.175654618214	1.62522562912532	1.62522562912532	0	1322.94402472755	-78.8973947952402
"17"	"mid"	"DF"	20	106	"med"	"8"	"2070"	"rhyolite"	"20"	102.997415277903	2.82482707181955	2.42491194009781	8.30922978264945	1340.97410901281	-92.3192092535085
"19"	"mid"	"DF"	20	107	"med"	"8"	"2070"	"rhyolite"	"50"	111.66792225029	1.99663874037422	1.63043220341206	6.74212259054184	91.4003432434625	22.1745108252391
"21"	"mid"	"DF"	20	108	"med"	"8"	"2070"	"rhyolite"	"100"	124.808097855597	0.911751044621573	0.795583859086037	8.04488658905029	21390.8774321604	-99.4165358655744
"23"	"mid"	"DF"	20	109	"med"	"8"	"2070"	"andesite"	"10"	620.401736917527	2.17163741097932	2.02592267096043	10.2442570166154	994.09982744246	-37.5916060146951
"25"	"mid"	"DF"	20	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	61	-100
"27"	"mid"	"DF"	20	110	"med"	"8"	"2070"	"andesite"	"20"	419.830692867655	1.22154234978996	1.18433598056436	6.39112790425618	88.1577002193642	376.226911345218
"29"	"mid"	"DF"	20	111	"med"	"8"	"2070"	"andesite"	"50"	799.038182288048	0.368471530576547	0.368471530576547	0	69	1058.0263511421
"31"	"mid"	"DF"	20	112	"med"	"8"	"2070"	"andesite"	"100"	6	5.40256603558858	0	5.40256603558858	12867.9814030891	-99.9533726401053
"33"	"mid"	"DF"	20	113	"high"	"8"	"2070"	"rhyolite"	"10"	87.8994297125272	1.84538616620423	1.65307676792145	7.28770558039347	1291.33366894389	-93.1931280174538
"35"	"mid"	"DF"	20	114	"high"	"8"	"2070"	"rhyolite"	"20"	862.609688578991	1.22566693340029	1.20322988927364	7.65470043818156	95.569623236065	802.598189016894
"37"	"mid"	"DF"	20	115	"high"	"8"	"2070"	"rhyolite"	"50"	599.779927808693	0.0885374397039413	0.0885374397039413	0	71.1483286384327	742.999321680068
"39"	"mid"	"DF"	20	116	"high"	"8"	"2070"	"rhyolite"	"100"	10.7690059993057	2.72513743222863	2.18746876716614	4.11752112706502	20908.8210546508	-99.9484953935415
"41"	"mid"	"DF"	20	117	"high"	"8"	"2070"	"andesite"	"10"	183.92935425319	1.63620743033608	1.39292362928391	8.85076236724854	1347.40652241261	-86.3493792560946
"43"	"mid"	"DF"	20	118	"high"	"8"	"2070"	"andesite"	"20"	567.981467943539	1.40966343612421	1.27736375331879	9.6266713142395	78.3645150678753	624.794210047217
"45"	"mid"	"DF"	20	119	"high"	"8"	"2070"	"andesite"	"50"	6	11.6613554954529	0	11.6613554954529	130.002310695725	-95.3846974196919
"47"	"mid"	"DF"	20	12	"med"	"0"	"hist"	"rhyolite"	"100"	0	NA	0	0	2960.1588776965	-100
"49"	"mid"	"DF"	20	120	"high"	"8"	"2070"	"andesite"	"100"	3	4.19028584162394	0	4.19028584162394	14669.2978999355	-99.9795491234791
"51"	"mid"	"DF"	20	13	"med"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	1482.36346028911	-100
"53"	"mid"	"DF"	20	14	"med"	"0"	"hist"	"andesite"	"20"	9.02097442121842	2.00232648849487	2.00232648849487	0	81.1715809526809	-88.8865360076241
"55"	"mid"	"DF"	20	15	"med"	"0"	"hist"	"andesite"	"50"	0	NA	0	0	62	-100
"57"	"mid"	"DF"	20	16	"med"	"0"	"hist"	"andesite"	"100"	0	NA	0	0	3322.82146082738	-100
"59"	"mid"	"DF"	20	17	"high"	"0"	"hist"	"rhyolite"	"10"	7.76900599930573	2.17211055755615	2.17211055755615	0	1335.30353158451	-99.4181842693034
"61"	"mid"	"DF"	20	18	"high"	"0"	"hist"	"rhyolite"	"20"	90.2570479590446	0.953373640775681	0.953373640775681	0	370.759830198173	-75.6561955725349
"63"	"mid"	"DF"	20	19	"high"	"0"	"hist"	"rhyolite"	"50"	39.9123981380711	1.17275989055634	1.17275989055634	0	56	-28.7278604677301
"65"	"mid"	"DF"	20	2	"low"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	104.450913295112	-100
"67"	"mid"	"DF"	20	20	"high"	"0"	"hist"	"rhyolite"	"100"	9.35508566023361	3.88631229652636	2.46594953536987	6.89515463511149	4307.77844772021	-99.7828327112509
"69"	"mid"	"DF"	20	21	"high"	"0"	"hist"	"andesite"	"10"	8.02983875426409	6.50951853432989	2.93111705780029	12.5091126759847	1340.05950932469	-99.4007849130289
"71"	"mid"	"DF"	20	22	"high"	"0"	"hist"	"andesite"	"20"	55.0798007888243	1.26156523823738	1.26156523823738	0	89.6998545197399	-38.5954402225891
"73"	"mid"	"DF"	20	23	"high"	"0"	"hist"	"andesite"	"50"	221.484557228127	0.860698184565378	0.764495849609375	7.86693970362345	63	251.562789250996
"75"	"mid"	"DF"	20	24	"high"	"0"	"hist"	"andesite"	"100"	16.1609769897701	3.86950937162019	3.07632819811503	9.48561954498291	2916.21351445205	-99.4458232598649
"77"	"mid"	"DF"	20	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	0	NA	0	0	1050.73240652636	-100
"79"	"mid"	"DF"	20	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	3	9.70036919911703	0	9.70036919911703	105.414598228605	-97.1540943565576
"81"	"mid"	"DF"	20	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	165.212873656563	1.87557377417882	1.87557377417882	0	68	142.960108318475
"83"	"mid"	"DF"	20	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	3	9.10831960042318	0	9.10831960042318	3059.24630690545	-99.9019366308222
"85"	"mid"	"DF"	20	29	"low"	"4.5"	"2030"	"andesite"	"10"	12.7807596550037	1.60224795341492	1.60224795341492	0	1431.07029119433	-99.1069090223138
"87"	"mid"	"DF"	20	3	"low"	"0"	"hist"	"rhyolite"	"50"	2	6.82931756973267	0	6.82931756973267	58	-96.551724137931
"89"	"mid"	"DF"	20	30	"low"	"4.5"	"2030"	"andesite"	"20"	3	13.0070317586263	0	13.0070317586263	81.1490439201308	-96.3030987734708
"91"	"mid"	"DF"	20	31	"low"	"4.5"	"2030"	"andesite"	"50"	160.527232193052	2.06365774197131	1.9328754991293	8.93091265360514	61	163.159397037791
"93"	"mid"	"DF"	20	32	"low"	"4.5"	"2030"	"andesite"	"100"	7	7.96215759004865	0	7.96215759004865	3184.00145737363	-99.7801508543977
