id x y modelclimatetableName modelsiteavailableNitrogen modelsitesoilDepth modelsitepctSand modelsitepctSilt modelsitepctClay
132 23 3 high_rcp_45_2030 45 30 34 33 33
133 24 3 high_rcp_45_2030 55 30 34 33 33
134 25 3 high_rcp_45_2030 55 30 34 33 33
135 26 3 high_rcp_45_2030 55 30 34 33 33
136 27 3 high_rcp_45_2030 55 30 34 33 33
137 28 3 high_rcp_45_2030 55 30 34 33 33
138 29 3 high_rcp_45_2030 55 30 34 33 33
139 30 3 high_rcp_45_2030 55 30 34 33 33
140 31 3 high_rcp_45_2030 55 30 34 33 33
141 32 3 high_rcp_45_2030 55 30 34 33 33
142 33 3 high_rcp_45_2030 55 30 34 33 33
143 34 3 high_rcp_45_2030 55 30 34 33 33
144 35 3 high_rcp_45_2030 55 30 34 33 33
145 0 4 low_rcp_8_2030 45 30 34 33 33
146 1 4 low_rcp_8_2030 45 30 34 33 33
147 2 4 low_rcp_8_2030 45 30 34 33 33
148 3 4 low_rcp_8_2030 45 30 34 33 33
149 4 4 low_rcp_8_2030 45 30 34 33 33
150 5 4 low_rcp_8_2030 45 30 34 33 33
151 6 4 low_rcp_8_2030 45 30 34 33 33
152 7 4 low_rcp_8_2030 45 30 34 33 33
153 8 4 low_rcp_8_2030 45 30 34 33 33
154 9 4 low_rcp_8_2030 45 30 34 33 33
155 10 4 low_rcp_8_2030 45 30 34 33 33
156 11 4 low_rcp_8_2030 45 30 34 33 33
157 12 4 low_rcp_8_2030 55 30 34 33 33
158 13 4 low_rcp_8_2030 55 30 34 33 33
159 14 4 low_rcp_8_2030 55 30 34 33 33
160 15 4 low_rcp_8_2030 55 30 34 33 33
161 16 4 low_rcp_8_2030 55 30 34 33 33
162 17 4 low_rcp_8_2030 55 30 34 33 33
163 18 4 low_rcp_8_2030 55 30 34 33 33
164 19 4 low_rcp_8_2030 55 30 34 33 33
165 20 4 low_rcp_8_2030 55 30 34 33 33
166 21 4 low_rcp_8_2030 55 30 34 33 33
167 22 4 low_rcp_8_2030 55 30 34 33 33
168 23 4 low_rcp_8_2030 55 30 34 33 33
169 24 4 mid_rcp_8_2030 45 30 34 33 33
170 25 4 mid_rcp_8_2030 45 30 34 33 33
171 26 4 mid_rcp_8_2030 45 30 34 33 33
172 27 4 mid_rcp_8_2030 45 30 34 33 33
173 28 4 mid_rcp_8_2030 45 30 34 33 33
174 29 4 mid_rcp_8_2030 45 30 34 33 33
175 30 4 mid_rcp_8_2030 45 30 34 33 33
176 31 4 mid_rcp_8_2030 45 30 34 33 33
177 32 4 mid_rcp_8_2030 45 30 34 33 33
178 33 4 mid_rcp_8_2030 45 30 34 33 33
179 34 4 mid_rcp_8_2030 45 30 34 33 33
180 35 4 mid_rcp_8_2030 45 30 34 33 33
181 0 5 mid_rcp_8_2030 55 30 34 33 33
182 1 5 mid_rcp_8_2030 55 30 34 33 33
183 2 5 mid_rcp_8_2030 55 30 34 33 33
184 3 5 mid_rcp_8_2030 55 30 34 33 33
185 4 5 mid_rcp_8_2030 55 30 34 33 33
186 5 5 mid_rcp_8_2030 55 30 34 33 33
187 6 5 mid_rcp_8_2030 55 30 34 33 33
188 7 5 mid_rcp_8_2030 55 30 34 33 33
189 8 5 mid_rcp_8_2030 55 30 34 33 33
190 9 5 mid_rcp_8_2030 55 30 34 33 33
191 10 5 mid_rcp_8_2030 55 30 34 33 33
192 11 5 mid_rcp_8_2030 55 30 34 33 33
193 12 5 high_rcp_8_2030 45 30 34 33 33
194 13 5 high_rcp_8_2030 45 30 34 33 33
195 14 5 high_rcp_8_2030 45 30 34 33 33
196 15 5 high_rcp_8_2030 45 30 34 33 33
197 16 5 high_rcp_8_2030 45 30 34 33 33
198 17 5 high_rcp_8_2030 45 30 34 33 33
199 18 5 high_rcp_8_2030 45 30 34 33 33
200 19 5 high_rcp_8_2030 45 30 34 33 33
201 20 5 high_rcp_8_2030 45 30 34 33 33
202 21 5 high_rcp_8_2030 45 30 34 33 33
203 22 5 high_rcp_8_2030 45 30 34 33 33
204 23 5 high_rcp_8_2030 45 30 34 33 33
205 24 5 high_rcp_8_2030 55 30 34 33 33
206 25 5 high_rcp_8_2030 55 30 34 33 33
207 26 5 high_rcp_8_2030 55 30 34 33 33
208 27 5 high_rcp_8_2030 55 30 34 33 33
209 28 5 high_rcp_8_2030 55 30 34 33 33
210 29 5 high_rcp_8_2030 55 30 34 33 33
211 30 5 high_rcp_8_2030 55 30 34 33 33
212 31 5 high_rcp_8_2030 55 30 34 33 33
213 32 5 high_rcp_8_2030 55 30 34 33 33
214 33 5 high_rcp_8_2030 55 30 34 33 33
215 34 5 high_rcp_8_2030 55 30 34 33 33
216 35 5 high_rcp_8_2030 55 30 34 33 33
217 0 6 low_rcp_45_2070 45 30 34 33 33
218 1 6 low_rcp_45_2070 45 30 34 33 33
219 2 6 low_rcp_45_2070 45 30 34 33 33
220 3 6 low_rcp_45_2070 45 30 34 33 33
221 4 6 low_rcp_45_2070 45 30 34 33 33
222 5 6 low_rcp_45_2070 45 30 34 33 33
223 6 6 low_rcp_45_2070 45 30 34 33 33
224 7 6 low_rcp_45_2070 45 30 34 33 33
225 8 6 low_rcp_45_2070 45 30 34 33 33
226 9 6 low_rcp_45_2070 45 30 34 33 33
227 10 6 low_rcp_45_2070 45 30 34 33 33
228 11 6 low_rcp_45_2070 45 30 34 33 33
229 12 6 low_rcp_45_2070 55 30 34 33 33
230 13 6 low_rcp_45_2070 55 30 34 33 33
231 14 6 low_rcp_45_2070 55 30 34 33 33
232 15 6 low_rcp_45_2070 55 30 34 33 33
233 16 6 low_rcp_45_2070 55 30 34 33 33
234 17 6 low_rcp_45_2070 55 30 34 33 33
235 18 6 low_rcp_45_2070 55 30 34 33 33
236 19 6 low_rcp_45_2070 55 30 34 33 33
237 20 6 low_rcp_45_2070 55 30 34 33 33
238 21 6 low_rcp_45_2070 55 30 34 33 33
239 22 6 low_rcp_45_2070 55 30 34 33 33
240 23 6 low_rcp_45_2070 55 30 34 33 33
241 24 6 mid_rcp_45_2070 45 30 34 33 33
242 25 6 mid_rcp_45_2070 45 30 34 33 33
243 26 6 mid_rcp_45_2070 45 30 34 33 33
244 27 6 mid_rcp_45_2070 45 30 34 33 33
245 28 6 mid_rcp_45_2070 45 30 34 33 33
246 29 6 mid_rcp_45_2070 45 30 34 33 33
247 30 6 mid_rcp_45_2070 45 30 34 33 33
248 31 6 mid_rcp_45_2070 45 30 34 33 33
249 32 6 mid_rcp_45_2070 45 30 34 33 33
250 33 6 mid_rcp_45_2070 45 30 34 33 33
251 34 6 mid_rcp_45_2070 45 30 34 33 33
252 35 6 mid_rcp_45_2070 45 30 34 33 33
253 0 7 mid_rcp_45_2070 55 30 34 33 33
254 1 7 mid_rcp_45_2070 55 30 34 33 33
255 2 7 mid_rcp_45_2070 55 30 34 33 33
256 3 7 mid_rcp_45_2070 55 30 34 33 33
257 4 7 mid_rcp_45_2070 55 30 34 33 33
258 5 7 mid_rcp_45_2070 55 30 34 33 33
259 6 7 mid_rcp_45_2070 55 30 34 33 33
260 7 7 mid_rcp_45_2070 55 30 34 33 33
261 8 7 mid_rcp_45_2070 55 30 34 33 33
262 9 7 mid_rcp_45_2070 55 30 34 33 33
263 10 7 mid_rcp_45_2070 55 30 34 33 33
264 11 7 mid_rcp_45_2070 55 30 34 33 33
265 12 7 high_rcp_45_2070 45 30 34 33 33
266 13 7 high_rcp_45_2070 45 30 34 33 33
267 14 7 high_rcp_45_2070 45 30 34 33 33
268 15 7 high_rcp_45_2070 45 30 34 33 33
269 16 7 high_rcp_45_2070 45 30 34 33 33
270 17 7 high_rcp_45_2070 45 30 34 33 33
271 18 7 high_rcp_45_2070 45 30 34 33 33
272 19 7 high_rcp_45_2070 45 30 34 33 33
273 20 7 high_rcp_45_2070 45 30 34 33 33
274 21 7 high_rcp_45_2070 45 30 34 33 33
275 22 7 high_rcp_45_2070 45 30 34 33 33
276 23 7 high_rcp_45_2070 45 30 34 33 33
277 24 7 high_rcp_45_2070 55 30 34 33 33
278 25 7 high_rcp_45_2070 55 30 34 33 33
279 26 7 high_rcp_45_2070 55 30 34 33 33
280 27 7 high_rcp_45_2070 55 30 34 33 33
281 28 7 high_rcp_45_2070 55 30 34 33 33
282 29 7 high_rcp_45_2070 55 30 34 33 33
283 30 7 high_rcp_45_2070 55 30 34 33 33
284 31 7 high_rcp_45_2070 55 30 34 33 33
285 32 7 high_rcp_45_2070 55 30 34 33 33
286 33 7 high_rcp_45_2070 55 30 34 33 33
287 34 7 high_rcp_45_2070 55 30 34 33 33
288 35 7 high_rcp_45_2070 55 30 34 33 33
289 0 8 low_rcp_8_2070 45 30 34 33 33
290 1 8 low_rcp_8_2070 45 30 34 33 33
291 2 8 low_rcp_8_2070 45 30 34 33 33
292 3 8 low_rcp_8_2070 45 30 34 33 33
293 4 8 low_rcp_8_2070 45 30 34 33 33
294 5 8 low_rcp_8_2070 45 30 34 33 33
295 6 8 low_rcp_8_2070 45 30 34 33 33
296 7 8 low_rcp_8_2070 45 30 34 33 33
297 8 8 low_rcp_8_2070 45 30 34 33 33
298 9 8 low_rcp_8_2070 45 30 34 33 33
299 10 8 low_rcp_8_2070 45 30 34 33 33
300 11 8 low_rcp_8_2070 45 30 34 33 33
301 12 8 low_rcp_8_2070 55 30 34 33 33
302 13 8 low_rcp_8_2070 55 30 34 33 33
303 14 8 low_rcp_8_2070 55 30 34 33 33
304 15 8 low_rcp_8_2070 55 30 34 33 33
305 16 8 low_rcp_8_2070 55 30 34 33 33
306 17 8 low_rcp_8_2070 55 30 34 33 33
307 18 8 low_rcp_8_2070 55 30 34 33 33
308 19 8 low_rcp_8_2070 55 30 34 33 33
309 20 8 low_rcp_8_2070 55 30 34 33 33
310 21 8 low_rcp_8_2070 55 30 34 33 33
311 22 8 low_rcp_8_2070 55 30 34 33 33
312 23 8 low_rcp_8_2070 55 30 34 33 33
313 24 8 mid_rcp_8_2070 45 30 34 33 33
314 25 8 mid_rcp_8_2070 45 30 34 33 33
315 26 8 mid_rcp_8_2070 45 30 34 33 33
316 27 8 mid_rcp_8_2070 45 30 34 33 33
317 28 8 mid_rcp_8_2070 45 30 34 33 33
318 29 8 mid_rcp_8_2070 45 30 34 33 33
319 30 8 mid_rcp_8_2070 45 30 34 33 33
320 31 8 mid_rcp_8_2070 45 30 34 33 33
321 32 8 mid_rcp_8_2070 45 30 34 33 33
322 33 8 mid_rcp_8_2070 45 30 34 33 33
323 34 8 mid_rcp_8_2070 45 30 34 33 33
324 35 8 mid_rcp_8_2070 45 30 34 33 33
325 0 9 mid_rcp_8_2070 55 30 34 33 33
326 1 9 mid_rcp_8_2070 55 30 34 33 33
327 2 9 mid_rcp_8_2070 55 30 34 33 33
328 3 9 mid_rcp_8_2070 55 30 34 33 33
329 4 9 mid_rcp_8_2070 55 30 34 33 33
330 5 9 mid_rcp_8_2070 55 30 34 33 33
331 6 9 mid_rcp_8_2070 55 30 34 33 33
332 7 9 mid_rcp_8_2070 55 30 34 33 33
333 8 9 mid_rcp_8_2070 55 30 34 33 33
334 9 9 mid_rcp_8_2070 55 30 34 33 33
335 10 9 mid_rcp_8_2070 55 30 34 33 33
336 11 9 mid_rcp_8_2070 55 30 34 33 33
337 12 9 high_rcp_8_2070 45 30 34 33 33
338 13 9 high_rcp_8_2070 45 30 34 33 33
339 14 9 high_rcp_8_2070 45 30 34 33 33
340 15 9 high_rcp_8_2070 45 30 34 33 33
341 16 9 high_rcp_8_2070 45 30 34 33 33
342 17 9 high_rcp_8_2070 45 30 34 33 33
343 18 9 high_rcp_8_2070 45 30 34 33 33
344 19 9 high_rcp_8_2070 45 30 34 33 33
345 20 9 high_rcp_8_2070 45 30 34 33 33
346 21 9 high_rcp_8_2070 45 30 34 33 33
347 22 9 high_rcp_8_2070 45 30 34 33 33
348 23 9 high_rcp_8_2070 45 30 34 33 33
349 24 9 high_rcp_8_2070 55 30 34 33 33
350 25 9 high_rcp_8_2070 55 30 34 33 33
351 26 9 high_rcp_8_2070 55 30 34 33 33
352 27 9 high_rcp_8_2070 55 30 34 33 33
353 28 9 high_rcp_8_2070 55 30 34 33 33
354 29 9 high_rcp_8_2070 55 30 34 33 33
355 30 9 high_rcp_8_2070 55 30 34 33 33
356 31 9 high_rcp_8_2070 55 30 34 33 33
357 32 9 high_rcp_8_2070 55 30 34 33 33
358 33 9 high_rcp_8_2070 55 30 34 33 33
359 34 9 high_rcp_8_2070 55 30 34 33 33
360 35 9 high_rcp_8_2070 55 30 34 33 33
361 0 10 low_hist 45 30 34 33 33
362 1 10 low_hist 45 30 34 33 33
363 2 10 low_hist 45 30 34 33 33
364 3 10 low_hist 45 30 34 33 33
365 4 10 low_hist 45 30 34 33 33
366 5 10 low_hist 45 30 34 33 33
367 6 10 low_hist 45 30 34 33 33
368 7 10 low_hist 45 30 34 33 33
369 8 10 low_hist 45 30 34 33 33
370 9 10 low_hist 45 30 34 33 33
371 10 10 low_hist 45 30 34 33 33
372 11 10 low_hist 45 30 34 33 33
373 12 10 low_hist 55 30 34 33 33
374 13 10 low_hist 55 30 34 33 33
375 14 10 low_hist 55 30 34 33 33
376 15 10 low_hist 55 30 34 33 33
377 16 10 low_hist 55 30 34 33 33
378 17 10 low_hist 55 30 34 33 33
379 18 10 low_hist 55 30 34 33 33
380 19 10 low_hist 55 30 34 33 33
381 20 10 low_hist 55 30 34 33 33
382 21 10 low_hist 55 30 34 33 33
383 22 10 low_hist 55 30 34 33 33
384 23 10 low_hist 55 30 34 33 33
385 24 10 med_hist 45 30 34 33 33
386 25 10 med_hist 45 30 34 33 33
387 26 10 med_hist 45 30 34 33 33
388 27 10 med_hist 45 30 34 33 33
389 28 10 med_hist 45 30 34 33 33
390 29 10 med_hist 45 30 34 33 33
391 30 10 med_hist 45 30 34 33 33
392 31 10 med_hist 45 30 34 33 33
393 32 10 med_hist 45 30 34 33 33
394 33 10 med_hist 45 30 34 33 33
395 34 10 med_hist 45 30 34 33 33
396 35 10 med_hist 45 30 34 33 33
397 0 11 med_hist 55 30 34 33 33
398 1 11 med_hist 55 30 34 33 33
399 2 11 med_hist 55 30 34 33 33
400 3 11 med_hist 55 30 34 33 33
401 4 11 med_hist 55 30 34 33 33
402 5 11 med_hist 55 30 34 33 33
403 6 11 med_hist 55 30 34 33 33
404 7 11 med_hist 55 30 34 33 33
405 8 11 med_hist 55 30 34 33 33
406 9 11 med_hist 55 30 34 33 33
407 10 11 med_hist 55 30 34 33 33
408 11 11 med_hist 55 30 34 33 33
409 12 11 high_hist 45 30 34 33 33
410 13 11 high_hist 45 30 34 33 33
411 14 11 high_hist 45 30 34 33 33
412 15 11 high_hist 45 30 34 33 33
413 16 11 high_hist 45 30 34 33 33
414 17 11 high_hist 45 30 34 33 33
415 18 11 high_hist 45 30 34 33 33
416 19 11 high_hist 45 30 34 33 33
417 20 11 high_hist 45 30 34 33 33
418 21 11 high_hist 45 30 34 33 33
419 22 11 high_hist 45 30 34 33 33
420 23 11 high_hist 45 30 34 33 33
421 24 11 high_hist 55 30 34 33 33
422 25 11 high_hist 55 30 34 33 33
423 26 11 high_hist 55 30 34 33 33
424 27 11 high_hist 55 30 34 33 33
425 28 11 high_hist 55 30 34 33 33
426 29 11 high_hist 55 30 34 33 33
427 30 11 high_hist 55 30 34 33 33
428 31 11 high_hist 55 30 34 33 33
429 32 11 high_hist 55 30 34 33 33
430 33 11 high_hist 55 30 34 33 33
431 34 11 high_hist 55 30 34 33 33
432 35 11 high_hist 55 30 34 33 33
433 0 12 low_rcp_45_2030 45 30 34 33 33
434 1 12 low_rcp_45_2030 45 30 34 33 33
435 2 12 low_rcp_45_2030 45 30 34 33 33
436 3 12 low_rcp_45_2030 45 30 34 33 33
