"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	12.0937319713262	11.9437503003337	362.666666666667	365.893103448276	-0.242812288863374	-0.295342768805456	30.013649523607	29.6639942395776	16
"2"	5	12.0937319713262	11.9437503003337	362.666666666667	365.893103448276	-0.186836497873431	-0.241253876550219	49.2698450970982	48.3259237115827	16
"3"	9	10.5166743082437	10.3950932754913	833.966666666667	858.231034482759	-0.12629451392854	-0.180760758902225	35.9465432763318	34.5049545232636	16
"4"	13	10.5166743082437	10.3950932754913	833.966666666667	858.231034482759	-0.0995671645880069	-0.132468066062572	56.4023920845549	54.4797031326732	16
"5"	17	8.63572529032258	8.52335893659622	1137.1	1186.79310344828	-0.067710450156202	-0.0611636096878815	38.6253688719013	38.5007311652778	16
"6"	21	8.63572529032258	8.52335893659622	1137.1	1186.79310344828	-0.0476399331100791	-0.0439190237375464	59.4726938927258	59.4742648003606	16
"7"	25	13.9504913978495	14.7236638546533	440.6	429.510344827586	-0.185791932786883	-0.286719756073389	30.4747004526731	29.7681174834146	16
"8"	29	13.9504913978495	14.7236638546533	440.6	429.510344827586	-0.118785179745856	-0.214899332957577	49.5690185495914	48.7720127178199	16
"9"	33	12.3185011039427	13.1687834423433	944.466666666667	1012.81034482759	-0.116055152763285	-0.209858664970932	34.1119040684839	33.4205518402503	16
"10"	37	12.3185011039427	13.1687834423433	944.466666666667	1012.81034482759	-0.0491257196837955	-0.160077716263767	55.2229390843262	53.3965759816063	16
"11"	41	10.4264411899642	11.3212346073415	1212.2	1411.21724137931	-0.0329430664389187	-0.0805321786517105	38.2858644694447	37.4949060612353	16
"12"	45	10.4264411899642	11.3212346073415	1212.2	1411.21724137931	-0.0224186041574735	-0.0599202351306424	59.6454902581204	58.4721677719286	16
"13"	49	14.6374851182796	14.4322279940675	415.933333333333	445.410344827586	-0.280399826716019	-0.229026759789076	29.1711462527367	31.0801549704681	16
"14"	53	14.6374851182796	14.4322279940675	415.933333333333	445.410344827586	-0.197734312472725	-0.168862242702319	48.3086750336762	50.6605720489011	16
