"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	12.0891329318996	11.990047483871	310.433333333333	364	-0.450212944963539	-0.294077353158173	26.2566080258767	29.7459120613439	20
"2"	5	12.0891329318996	11.990047483871	310.433333333333	364	-0.382149173495903	-0.240611462240783	43.7363070294566	48.3702912566451	20
"3"	9	10.6174458351254	10.4252000103819	790.3	842.172413793103	-0.251595797212742	-0.180462360909061	33.0320766248427	34.4440141267073	20
"4"	13	10.6174458351254	10.4252000103819	790.3	842.172413793103	-0.20038266284718	-0.138159201090707	52.1949709668103	54.2896157742887	20
"5"	17	8.8081634265233	8.56543241527623	1104.76666666667	1162.9	-0.0840910818095872	-0.067995752497489	38.0085871334789	38.2195261819159	20
"6"	21	8.8081634265233	8.56543241527623	1104.76666666667	1162.9	-0.0502054539646507	-0.0449546597383395	59.0154047687608	59.2212463368856	20
"7"	25	15.0574972903226	14.4440708209121	480.866666666667	450.889655172414	-0.217920780297892	-0.226266524890116	30.9211362956055	31.0181751419305	20
"8"	29	15.0574972903226	14.4440708209121	480.866666666667	450.889655172414	-0.128819848426196	-0.159488347535794	51.3242056881167	50.6525418840863	20
"9"	33	13.5121100358423	12.8799986844642	1065.43333333333	1015.77586206897	-0.182010074428809	-0.180487254928422	33.7824190401626	34.1416023633515	20
"10"	37	13.5121100358423	12.8799986844642	1065.43333333333	1015.77586206897	-0.129673605482786	-0.13353990469357	54.2556741013144	54.427212500509	20
"11"	41	11.6002543082437	11.0313357434186	1535.93333333333	1396.18275862069	-0.156873797662131	-0.107066413425912	36.35893601276	37.3644167959058	20
"12"	45	11.6002543082437	11.0313357434186	1535.93333333333	1396.18275862069	-0.11265020479862	-0.0811661846601004	56.8780002806473	58.1557779728896	20
"13"	49	14.9512686451613	14.8932604760845	435	435.524137931034	-0.229955331770037	-0.282067478751568	30.3670893062458	30.1367601753458	20
"14"	53	14.9512686451613	14.8932604760845	435	435.524137931034	-0.144300253569187	-0.208923519613108	50.2547916591945	49.3703652383502	20
"15"	57	13.4773723154122	13.350662143122	1027.76666666667	1018.1724137931	-0.214861669262026	-0.224574946909162	33.1624302285761	33.0380995583128	20
"16"	61	13.4773723154122	13.350662143122	1027.76666666667	1018.1724137931	-0.134789267196578	-0.163459812993222	53.2377267367347	52.7588282197805	20
"17"	65	11.6910942222222	11.5249677315536	1413.73333333333	1410.9	-0.0397746971736139	-0.0713747603656463	38.1379204127556	37.4762346773988	20
"18"	69	11.6910942222222	11.5249677315536	1413.73333333333	1410.9	-0.0238979468866023	-0.0495265124765936	59.4960441886281	58.3890266417945	20
"19"	73	15.2085468530466	15.3812052443456	402.433333333333	418.355172413793	-0.392833262666444	-0.384958354816817	29.023656994061	28.5256627981916	20
"20"	77	15.2085468530466	15.3812052443456	402.433333333333	418.355172413793	-0.334104129990766	-0.310326487305722	46.8841484221796	46.7093503879762	20
"21"	81	13.7655797706093	13.9120775513534	973.6	1007.83103448276	-0.359316775998264	-0.310449177563886	31.124502278282	31.6117885989184	20
"22"	85	13.7655797706093	13.9120775513534	973.6	1007.83103448276	-0.286673083823178	-0.250354469070184	49.4747008513711	50.273247438048	20
"23"	89	11.951138781362	12.1015525176122	1316.93333333333	1400.8	-0.152485029233178	-0.119337237016704	35.713627820331	36.3244287143602	20
"24"	93	11.951138781362	12.1015525176122	1316.93333333333	1400.8	-0.100933520085856	-0.081165811252197	56.3330905249479	56.9620898879565	20
"25"	97	17.1165616487455	17.3560086258806	520.733333333333	455.08275862069	-0.346433310584383	-0.37946730096562	30.8023379229145	28.5864007905913	20
"26"	101	17.1165616487455	17.3560086258806	520.733333333333	455.08275862069	-0.300625342294195	-0.313868691248777	49.7470586542173	46.8538115052534	20
"27"	105	15.6123952114695	15.9306105005562	1151.53333333333	1068.71034482759	-0.336333959302461	-0.355066083168755	31.7596511860206	30.6109628736209	20
"28"	109	15.6123952114695	15.9306105005562	1151.53333333333	1068.71034482759	-0.280022217470471	-0.290518888037913	50.8310663109107	49.2670712716738	20
"29"	113	13.8311156272401	14.1537113325918	1528.26666666667	1436.50344827586	-0.280952632936716	-0.267686706384899	32.8198236081422	32.6041093050512	20
"30"	117	13.8311156272401	14.1537113325918	1528.26666666667	1436.50344827586	-0.23731566462668	-0.211986397973735	51.9550525081843	51.8120014852089	20
"31"	2	11.3915999283154	12.0799948001483	403.6	369.796551724138	-0.232024777024001	-0.285407446761685	30.5553434102096	30.0429345527071	20
"32"	6	11.3915999283154	12.0799948001483	403.6	369.796551724138	-0.161758598908952	-0.233379615966203	49.7680489645472	48.6760938310936	20
"33"	10	9.77727452329749	10.5038466236559	927.8	850.08275862069	-0.0535389121118833	-0.175221852374144	37.4644980973846	34.4626470691986	20
"34"	14	9.77727452329749	10.5038466236559	927.8	850.08275862069	-0.0292064775757802	-0.133353706735651	58.6122924290276	54.2414349385189	20
"35"	18	7.87685915412186	8.6131790063033	1269.23333333333	1164.2724137931	-0.017919138075364	-0.0689513187952437	39.9103206831336	38.2502839290105	20
"36"	22	7.87685915412186	8.6131790063033	1269.23333333333	1164.2724137931	-0.0169880305827018	-0.0457359344151802	61.2194209805964	59.2265090319272	20
"37"	26	14.6423748100358	14.599167965888	478.033333333333	439.686206896552	-0.216734121826866	-0.277203519815455	31.8445799927214	30.174858134784	20
"38"	30	14.6423748100358	14.599167965888	478.033333333333	439.686206896552	-0.133246253137001	-0.218288523744242	52.1630548536837	49.4711533570891	20
"39"	34	13.1429161577061	13.0530541460882	1107.6	1005.42413793103	-0.179982805111924	-0.224148984237314	33.9937245526203	33.4151569656657	20
"40"	38	13.1429161577061	13.0530541460882	1107.6	1005.42413793103	-0.101670209423083	-0.181877263936835	54.5343786387339	53.3157430287127	20
"41"	42	11.286686265233	11.2155263893215	1550.13333333333	1371.8275862069	-0.0752502865145914	-0.123636529741286	36.4171605760311	36.8166398944864	20
"42"	46	11.286686265233	11.2155263893215	1550.13333333333	1371.8275862069	-0.0349243621329051	-0.0944822496234144	57.7283200906517	57.4604692478371	20
"43"	50	14.4696938064516	14.9439830537634	445.8	433.072413793103	-0.234267790271355	-0.315982968284362	32.3481793625823	29.7568176224532	20
"44"	54	14.4696938064516	14.9439830537634	445.8	433.072413793103	-0.196718082593692	-0.247566973474147	52.2879825917448	48.6041248234668	20
"45"	58	12.8207003870968	13.3600469440119	1049.16666666667	1012.71034482759	-0.230091391457356	-0.263049865717808	34.2142087061864	32.3727296742391	20
"46"	62	12.8207003870968	13.3600469440119	1049.16666666667	1012.71034482759	-0.196007815138646	-0.21210465419112	54.085874540527	51.5873507397508	20
"47"	66	10.9483172329749	11.5234693585465	1464.5	1400.78620689655	-0.132006401688383	-0.0745366631114079	37.2616056744989	37.304999336671	20
"48"	70	10.9483172329749	11.5234693585465	1464.5	1400.78620689655	-0.104908216846061	-0.0513757159049952	57.858781398605	58.1572252057755	20
"49"	74	14.8365118422939	15.3486268906192	460.166666666667	456.793103448276	-0.257560691486489	-0.304593228214035	31.0921915897074	29.819204305759	20
