"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	58.6666666666667	57.3793103448276	8
"2"	5	58.6666666666667	57.3793103448276	8
"3"	9	51.3333333333333	49.551724137931	8
"4"	13	51.3333333333333	49.551724137931	8
"5"	17	41	39.5862068965517	8
"6"	21	41	39.5862068965517	8
"7"	25	37.3333333333333	42.6206896551724	8
"8"	29	37.3333333333333	42.6206896551724	8
"9"	33	27.6666666666667	32.9655172413793	8
"10"	37	27.6666666666667	32.9655172413793	8
"11"	41	23.6666666666667	27.7241379310345	8
"12"	45	23.6666666666667	27.7241379310345	8
"13"	49	41.6666666666667	35.9310344827586	8
"14"	53	41.6666666666667	35.9310344827586	8
"15"	57	28.3333333333333	27.8965517241379	8
"16"	61	28.3333333333333	27.8965517241379	8
"17"	65	25.3333333333333	23.6551724137931	8
"18"	69	25.3333333333333	23.6551724137931	8
"19"	73	33.6666666666667	33.5172413793103	8
"20"	77	33.6666666666667	33.5172413793103	8
"21"	81	28	26.8275862068966	8
"22"	85	28	26.8275862068966	8
"23"	89	21	22.7241379310345	8
"24"	93	21	22.7241379310345	8
"25"	97	19.3333333333333	18.8620689655172	8
"26"	101	19.3333333333333	18.8620689655172	8
"27"	105	15.3333333333333	15.1034482758621	8
"28"	109	15.3333333333333	15.1034482758621	8
"29"	113	12.3333333333333	12.2068965517241	8
"30"	117	12.3333333333333	12.2068965517241	8
"31"	2	51	55.5862068965517	8
"32"	6	51	55.5862068965517	8
"33"	10	44.3333333333333	47.8275862068966	8
"34"	14	44.3333333333333	47.8275862068966	8
"35"	18	36	38.5862068965517	8
"36"	22	36	38.4146341463415	8
"37"	26	44	42.6206896551724	8
"38"	30	44	42.6206896551724	8
"39"	34	30.6666666666667	33.3103448275862	8
"40"	38	30.6666666666667	33.3103448275862	8
"41"	42	27	27.551724137931	8
"42"	46	27	27.551724137931	8
"43"	50	40.6666666666667	34.0344827586207	8
"44"	54	40.6666666666667	34.0344827586207	8
"45"	58	28.6666666666667	26.6206896551724	8
"46"	62	28.6666666666667	26.6206896551724	8
"47"	66	22.6666666666667	21.3793103448276	8
"48"	70	22.6666666666667	21.3793103448276	8
"49"	74	32.3333333333333	31.7241379310345	8
"50"	78	32.3333333333333	31.7241379310345	8
"51"	82	26	24.551724137931	8
"52"	86	26	24.551724137931	8
"53"	90	23.6666666666667	21.3793103448276	8
"54"	94	23.6666666666667	21.3793103448276	8
"55"	98	16	19.3793103448276	8
"56"	102	16	19.3793103448276	8
"57"	106	12	15.1379310344828	8
"58"	110	12	15.1379310344828	8
"59"	114	10.6666666666667	11.7586206896552	8
"60"	118	10.6666666666667	11.7586206896552	8
"61"	3	66.6666666666667	54.6896551724138	8
"62"	7	66.6666666666667	54.6896551724138	8
"63"	11	58.3333333333333	47.85	8
"64"	15	58.3333333333333	47.5	8
"65"	19	46	39.4102564102564	8
"66"	23	46	38.8809523809524	8
"67"	27	22	39.5384615384615	8
"68"	31	22	39.7073170731707	8
"69"	35	17.6666666666667	30.725	8
"70"	39	17.6666666666667	30.7380952380952	8
"71"	43	18.3333333333333	26.425	8
"72"	47	18.3333333333333	26.3809523809524	8
"73"	51	39	33.5526315789474	8
"74"	55	39	32.7560975609756	8
"75"	59	29	25.7692307692308	8
"76"	63	29	25.4146341463415	8
"77"	67	26.3333333333333	21.9487179487179	8
"78"	71	26.3333333333333	21.5365853658537	8
"79"	75	28.3333333333333	29.6923076923077	8
"80"	79	28.3333333333333	30.0243902439024	8
"81"	83	24.3333333333333	21.025	8
"82"	87	24.3333333333333	20.6904761904762	8
"83"	91	21.3333333333333	18.05	8
"84"	95	21.3333333333333	17.5952380952381	8
"85"	99	16	21	8
"86"	103	16	21.1951219512195	8
"87"	107	17	18.2051282051282	8
"88"	111	17	18.6428571428571	8
"89"	115	13.6666666666667	14.825	8
"90"	119	13.6666666666667	15.0952380952381	8
"91"	4	49.3333333333333	54.9310344827586	8
"92"	8	49.3333333333333	54.9310344827586	8
"93"	12	38.3333333333333	45.4871794871795	8
"94"	16	38.3333333333333	45.1219512195122	8
"95"	20	31.3333333333333	35.6666666666667	8
"96"	24	31.3333333333333	35.3414634146341	8
"97"	28	38.6666666666667	37.9310344827586	8
"98"	32	38.6666666666667	37.9310344827586	8
"99"	36	29.3333333333333	29.2820512820513	8
"100"	40	29.3333333333333	29.3809523809524	8
"101"	44	28	24.9230769230769	8
"102"	48	28	24.9285714285714	8
"103"	52	24	31.8717948717949	8
"104"	56	24	31.8048780487805	8
"105"	60	20.3333333333333	25.275	8
"106"	64	20.3333333333333	25.4761904761905	8
"107"	68	17.3333333333333	21.2	8
"108"	72	17.3333333333333	21.3809523809524	8
"109"	76	32.6666666666667	33.8205128205128	8
"110"	80	32.6666666666667	34	8
"111"	84	21	24.15	8
"112"	88	21	24.5238095238095	8
"113"	92	16.3333333333333	20.525	8
"114"	96	16.3333333333333	20.5	8
"115"	100	20.3333333333333	21.4736842105263	8
"116"	104	20.3333333333333	21.7317073170732	8
"117"	108	15	18.3333333333333	8
"118"	112	15	18.6585365853659	8
"119"	116	13.3333333333333	14.625	8
"120"	120	13.3333333333333	14.6904761904762	8
