"rid"	"replicate"	"distance"	"species"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"	"age_burned"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"frost.short"	"frost.long"
"1"	1	1	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	334.894920048172	-100	"10"	11.0285264659498	11.9864629499444	398.466666666667	384.393103448276	-0.240026656650899	-0.243306542703725	31.799756226312	30.8051767335425	51.6666666666667	50.6206896551724
"2"	1	10	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	316.78972548024	-100	"10"	13.0937587240143	12.2165397953281	408.966666666667	381.131034482759	-0.355309730219248	-0.281480461548265	27.8312956319805	29.9121438161127	58.3333333333333	54.2413793103448
"3"	1	11	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	331.682129132808	-100	"10"	11.5133960430108	12.2894227067112	339.766666666667	371.134482758621	-0.284606047952476	-0.263643533484027	30.2418207583958	30.1580540393602	53.6666666666667	54.448275862069
"4"	1	12	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	339.644311333001	-100	"10"	11.8467081863799	12.5876879480905	378.666666666667	388.713793103448	-0.241836163285329	-0.25185509415378	31.0781655587147	30.2936542222116	51	53
"5"	1	13	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	326.544394518255	-100	"10"	12.693311311828	12.3161654593993	417.533333333333	393.906896551724	-0.062008715181203	-0.207657707236137	34.1730029678606	31.4308059405019	52.3333333333333	54.8275862068966
"6"	1	14	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	58.4484740438454	0.280185998212332	0.163202432294687	7.00071334838867	346.06016995948	-83.1103145875791	"10"	11.4826382508961	12.0713363010753	397.966666666667	406.789655172414	-0.230279158503639	-0.241996758960053	31.1136774360344	30.5761084963604	47.3333333333333	53.1379310344828
"7"	1	15	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0.0812491647018856	3.44863104820251	3.44863104820251	0	333.099269488787	-99.9756081228198	"10"	11.6284843297491	11.884338533185	406.033333333333	383.106896551724	-0.187949680456968	-0.262512547073279	32.371317625709	30.254602143537	57	56.6206896551724
"8"	1	16	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0.220906211844682	1.78270757198334	1.78270757198334	0	319.996448093316	-99.9309660425417	"10"	11.3996017491039	11.8243519822024	383.066666666667	384.037931034483	-0.243273724349567	-0.272165670225213	30.5854400329515	30.2896258657082	53	53.4827586206897
"9"	1	17	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	34.4953994110979	0.44724698207659	0.260543094575405	6.70096826553345	327.245804830571	-89.4588719238257	"10"	11.9719375913979	11.990104894327	431.833333333333	393.986206896552	-0.188660916806162	-0.262670984053581	31.5990954613631	30.2451525985383	55.3333333333333	55.2758620689655
"10"	1	18	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	2.13605518157865	0.353344947099686	0.353344947099686	0	325.820090523051	-99.3444065471379	"10"	11.4236951111111	11.5870131078977	388.766666666667	402.903448275862	-0.348608693535318	-0.26356011735137	28.2034105168432	30.4638842925059	50	55.551724137931
"11"	1	19	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	336.271539131918	-100	"10"	10.8411985376344	12.2871129121246	444.833333333333	372.903448275862	-0.155642603948688	-0.300432056993314	32.2958697794801	29.5977988467026	55	53.9655172413793
"12"	1	2	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	331.945498835874	-100	"10"	12.8847169892473	11.9769282343344	427.8	394.524137931034	-0.126292352311817	-0.200463181919601	32.8217036363909	31.3645046366703	42.6666666666667	53.1034482758621
"13"	1	20	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	5.48687212107158	0.231095179915428	0.231095179915428	0	338.567200474484	-98.3793846204292	"10"	12.5320597275986	12.2953143759733	447.1	393.806896551724	-0.216757780052612	-0.24403696497968	32.9042466328177	30.9823982439692	64.6666666666667	54.551724137931
"14"	1	3	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	341.643093915468	-100	"10"	12.1089288172043	12.0139136818687	384.4	373.334482758621	-0.165151562759217	-0.275636908580235	30.9531934843372	29.6836586660595	60.6666666666667	56.3793103448276
"15"	1	4	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0.0653853140367615	3.89133644104004	3.89133644104004	0	328.942699335941	-99.9801225823924	"10"	11.4479438709677	11.8859402298851	393.466666666667	382.755172413793	-0.157681423411823	-0.242825756344267	33.428689274605	30.6826893251544	55.6666666666667	55.1379310344828
"16"	1	5	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	37.933118249402	0.624739572328943	0.437327054413882	7.54646825790405	337.897868861529	-88.7737918036568	"10"	11.2677261075269	12.1703046659251	383.633333333333	384.303448275862	-0.132174054857284	-0.264866780962692	32.7681264110007	30.2565780330279	67.3333333333333	54
"17"	1	6	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	330.816141190306	-100	"10"	11.8488359713262	11.8707194987023	386.166666666667	393.296551724138	-0.132428102413321	-0.209565873780994	33.7301150774479	31.454216768393	45.6666666666667	53.1379310344828
"18"	1	7	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	329.327958461563	-100	"10"	11.7161438136201	12.1686571242121	390.5	371.413793103448	-0.320910947927047	-0.285969991931005	28.911361779924	29.7131276652809	56.6666666666667	54.4137931034483
"19"	1	8	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0.140736578010071	2.35139918327332	2.35139918327332	0	337.236817314393	-99.9582677303354	"10"	12.7011594982079	12.0670216522062	405.833333333333	382.044827586207	-0.242227631921517	-0.273934021413577	30.1837037160816	29.9896062645519	61.3333333333333	55.7931034482759
"20"	1	9	"long"	"LP"	"low"	"0"	"hist"	"rhyolite"	10	0	NA	0	0	330.081702149148	-100	"10"	11.638098078853	11.8835284315907	393	387.193103448276	-0.123261356631323	-0.236937873984751	34.58092355395	30.9312501351879	49.3333333333333	51.0689655172414
"21"	10	1	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	1234.55536253999	-100	"20"	9.38586762724014	10.7366656774194	861.666666666667	877.513793103448	-0.100717711386917	-0.161615746924042	36.3291413982472	34.3418516664344	44	44.7931034482759
"22"	10	10	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	6.03516136653975	0.576427102088928	0.576427102088928	0	1098.27298848961	-99.4504862243002	"20"	10.7692674982079	10.6670819799778	874.833333333333	826.948275862069	-0.115288913234758	-0.191022067232972	35.362798242363	33.9791505168518	44	46.0344827586207
"23"	10	11	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	1135.11895180333	-100	"20"	11.365522953405	10.7486637834631	877.5	863.489655172414	-0.160557247044417	-0.168646758866155	34.1319410934291	34.4013610106068	43	46.551724137931
"24"	10	12	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0.131984084047769	2.52615571022034	2.52615571022034	0	1704.49772606017	-99.9922567169184	"20"	11.5380639713262	10.9821997523174	883.266666666667	861.689655172414	-0.234244412732662	-0.175583813073965	32.7507222869018	34.1266385267278	43	47.5862068965517
"25"	10	13	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	1822.44093097439	-100	"20"	10.9213781075269	10.8172893051539	866.6	914.037931034483	-0.219184847110192	-0.162066776262771	33.5367670491516	34.5698832920602	43	46.2413793103448
"26"	10	14	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	1436.33229513365	-100	"20"	9.59079630107527	10.4530049047089	855.866666666667	923.472413793103	-0.097036179037153	-0.122267898584617	36.0129783637671	35.3185610870132	44	46.9655172413793
"27"	10	15	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	1015.22157562899	-100	"20"	10.4260324014337	10.4313781861327	800.2	873.651724137931	-0.0980902342451049	-0.139555646051236	35.6224780935735	34.6964253588805	46	47.9310344827586
"28"	10	16	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	575.237718344639	-100	"20"	10.2352270967742	10.3779065005562	981.633333333333	883.434482758621	-0.0973212841990893	-0.157157830791493	36.1804083674389	34.6081464063091	46	45.448275862069
"29"	10	17	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0	NA	0	0	768.082565745747	-100	"20"	10.7157062508961	10.3206651642566	926.366666666667	905.310344827586	-0.147131052111577	-0.162586769246733	34.9487722633844	34.6411092702071	54.6666666666667	46.1379310344828
"30"	10	18	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0.104461009084984	2.8645076751709	2.8645076751709	0	1687.9013155896	-99.9938111897822	"20"	10.8443298494624	10.1840559288098	906.966666666667	921.027586206897	-0.214759364554242	-0.131179562388799	33.7679468710816	35.0961388810655	43	49.6206896551724
"31"	10	19	"long"	"LP"	"med"	"0"	"hist"	"rhyolite"	20	0.188044272127226	3.06329703330994	3.06329703330994	0	984.099029204122	-99.9808917327884	"20"	11.0286298351254	10.6024745346682	792.933333333333	856.855172413793	-0.157943875713593	-0.173381183114435	34.2629418815025	34.1673492725724	54.3333333333333	43.4137931034483
