"rid"	"replicate"	"distance"	"species"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"	"age_burned"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"frost.short"	"frost.long"
"1"	1	1	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	108.531765828891	1.35845929388074	1.01674789044203	7.19783822695414	42735.7028361303	-99.7460395907257	"10"	12.3296795985663	12.068921374861	409.333333333333	386.951724137931	-0.265690250360329	-0.267911528191906	30.382267785274	30.3354457059838	49.6666666666667	53.7241379310345
"2"	1	10	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	1.40433248147482	2.21284462213516	2.21284462213516	0	42420.8567595639	-99.9966895235298	"10"	11.2878611469534	12.2320678235076	404	390.441379310345	-0.205814823598229	-0.268466064145535	30.842431811994	29.7430458717753	58	51.2758620689655
"3"	1	11	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	79.5344385830223	1.0981258580583	0.941372969187796	7.17499947547913	43518.2981375801	-99.8172390879543	"10"	12.3644549390681	12.055208584353	433.7	395.065517241379	-0.213251923340775	-0.251830306505832	30.4772296251649	30.8143975854045	60.6666666666667	54.6896551724138
"4"	1	12	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	116.518503234884	0.962632137865981	0.646020642058416	6.79453690846761	42938.9924467654	-99.7286417389059	"10"	10.3920910107527	11.8484820659993	406.533333333333	383.972413793103	-0.0559573802331926	-0.258352450528776	34.2159082899252	30.3678305922488	55.6666666666667	50.6551724137931
"5"	1	13	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	51.953078214372	1.40430686253726	1.30988840200007	6.21521806716919	42385.3112089983	-99.8774266916239	"10"	11.669208688172	11.7434436618465	355.566666666667	377.920689655172	-0.249380947770376	-0.284526879485449	29.1472027778526	29.5723210835838	48.3333333333333	57.6206896551724
"6"	1	14	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	203.526855303605	0.685027112206161	0.49879734667967	6.81592377026876	42869.972102509	-99.5252461214182	"10"	11.7734331612903	12.1812985999258	353.6	376.575862068966	-0.32210844437869	-0.289216181485754	28.2708464842249	29.9091270750702	51	55.1724137931034
"7"	1	15	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	97.5788912337833	0.634135692507594	0.291314781177789	5.86666218439738	42799.85698317	-99.7720111745416	"10"	10.4814574623656	11.7164311694475	401.5	394.962068965517	-0.181832306090959	-0.205837781183416	31.3415950473067	31.2691591975153	48.6666666666667	53.7931034482759
"8"	1	16	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	124.343906650693	0.925604678988545	0.645794771611691	6.44457093874613	42605.1710218795	-99.7081483217452	"10"	11.797891311828	11.6442673029292	373.933333333333	386.575862068966	-0.222551741819013	-0.243840807531478	31.9099378064785	30.7284227489929	50.6666666666667	52.6896551724138
"9"	1	17	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	372.7420317031	0.560134679240196	0.443933453355263	6.631516456604	43751.4069462038	-99.1480456110556	"10"	13.0742998422939	12.3007242135706	439.5	406.8	-0.141158684461687	-0.244534462233918	32.6679273830032	30.5084995223247	49.6666666666667	55.7241379310345
"10"	1	18	"mid"	"LPS"	"low"	"0"	"hist"	"rhyolite"	10	221.778941523646	0.849620238212395	0.629497728073129	6.73181489109993	42563.0503361707	-99.4789402080631	"10"	11.511182265233	11.5173292903226	351.9	388.410344827586	-0.42783931318218	-0.260323144419032	27.4804148103356	30.4386895979985	61.3333333333333	54.3793103448276
