"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"long"	"DF"	16	1	"low"	"0"	"hist"	"rhyolite"	"10"	0	NA	0	0	1340.47695929611	-100
"3"	"long"	"DF"	16	10	"med"	"0"	"hist"	"rhyolite"	"20"	0	NA	0	0	97.8568958971005	-100
"5"	"long"	"DF"	16	100	"low"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	10306.3446696587	-100
"7"	"long"	"DF"	16	101	"low"	"8"	"2070"	"andesite"	"10"	102.851898786562	0.356116861104965	0.356116861104965	0	1408.45790710112	-92.6975525311757
"9"	"long"	"DF"	16	102	"low"	"8"	"2070"	"andesite"	"20"	19.9561990690356	1.18295228481293	1.18295228481293	0	159.704464168258	-87.5042947778776
"11"	"long"	"DF"	16	103	"low"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	53	-100
"13"	"long"	"DF"	16	104	"low"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	13962.40027215	-100
"15"	"long"	"DF"	16	105	"med"	"8"	"2070"	"rhyolite"	"10"	0	NA	0	0	940.398306953241	-100
"17"	"long"	"DF"	16	106	"med"	"8"	"2070"	"rhyolite"	"20"	0	NA	0	0	99.6184712129626	-100
"19"	"long"	"DF"	16	107	"med"	"8"	"2070"	"rhyolite"	"50"	0	NA	0	0	57	-100
"21"	"long"	"DF"	16	108	"med"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	14096.8030075467	-100
"23"	"long"	"DF"	16	109	"med"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	988.596489428141	-100
"25"	"long"	"DF"	16	11	"med"	"0"	"hist"	"rhyolite"	"50"	0	NA	0	0	57	-100
"27"	"long"	"DF"	16	110	"med"	"8"	"2070"	"andesite"	"20"	0	NA	0	0	80.0690590544065	-100
"29"	"long"	"DF"	16	111	"med"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	55	-100
"31"	"long"	"DF"	16	112	"med"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	6646.17696847554	-100
"33"	"long"	"DF"	16	113	"high"	"8"	"2070"	"rhyolite"	"10"	0	NA	0	0	1589.92258647315	-100
"35"	"long"	"DF"	16	114	"high"	"8"	"2070"	"rhyolite"	"20"	0	NA	0	0	92.3164150414909	-100
"37"	"long"	"DF"	16	115	"high"	"8"	"2070"	"rhyolite"	"50"	0	NA	0	0	68.1298002648899	-100
"39"	"long"	"DF"	16	116	"high"	"8"	"2070"	"rhyolite"	"100"	0	NA	0	0	13674.8420667361	-100
"41"	"long"	"DF"	16	117	"high"	"8"	"2070"	"andesite"	"10"	0	NA	0	0	1257.86578409018	-100
"43"	"long"	"DF"	16	118	"high"	"8"	"2070"	"andesite"	"20"	0	NA	0	0	74.4645492862379	-100
"45"	"long"	"DF"	16	119	"high"	"8"	"2070"	"andesite"	"50"	0	NA	0	0	166.851898786562	-100
"47"	"long"	"DF"	16	12	"med"	"0"	"hist"	"rhyolite"	"100"	0	NA	0	0	1047.57030305075	-100
"49"	"long"	"DF"	16	120	"high"	"8"	"2070"	"andesite"	"100"	0	NA	0	0	7696.13162999694	-100
