"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"short"	"DF"	2	1	"low"	"0"	"hist"	"rhyolite"	"10"	2448.13638579362	1.2628957994333	1.2097088975402	7.41012745811826	1460.26277068627	67.6504006633737
"3"	"short"	"DF"	2	10	"med"	"0"	"hist"	"rhyolite"	"20"	5305.1855093453	1.52330193285541	1.45752523051841	7.57958853035642	3418.23683080465	55.2023973744517
"5"	"short"	"DF"	2	100	"low"	"8"	"2070"	"rhyolite"	"100"	10145.5111735007	1.57629540045625	1.43109426130691	5.26739577079813	75112.1281106409	-86.4928455248182
"7"	"short"	"DF"	2	101	"low"	"8"	"2070"	"andesite"	"10"	13102.8203983469	1.63971701619027	1.46815723348577	8.19844771359495	1159.17642178742	1030.35601415552
"9"	"short"	"DF"	2	102	"low"	"8"	"2070"	"andesite"	"20"	12554.4353755731	1.63126972964603	1.51137409628439	6.98490857211026	15463.9257117294	-18.8146942140928
"11"	"short"	"DF"	2	103	"low"	"8"	"2070"	"andesite"	"50"	12055.3739960841	1.75353724115532	1.57207970561197	7.08225213730666	12338.0846495435	-2.29136581154762
"13"	"short"	"DF"	2	104	"low"	"8"	"2070"	"andesite"	"100"	14569.7187572502	1.19398068724101	1.02185903250609	6.60707974858698	85654.7904231214	-82.9901880732203
"15"	"short"	"DF"	2	105	"med"	"8"	"2070"	"rhyolite"	"10"	11898.6054678016	1.88183250555291	1.70821928536285	6.69796617192347	1408.48464053803	744.780633408713
"17"	"short"	"DF"	2	106	"med"	"8"	"2070"	"rhyolite"	"20"	17151.18774578	1.75441714345133	1.68370083267825	6.22628031866381	25796.3991946518	-33.51324882065
"19"	"short"	"DF"	2	107	"med"	"8"	"2070"	"rhyolite"	"50"	11720.2294161884	1.80008627193114	1.6103764312352	6.57341851932662	13350.5795409473	-12.21183035357
"21"	"short"	"DF"	2	108	"med"	"8"	"2070"	"rhyolite"	"100"	14899.5344018888	1.53829529029797	1.37284236514493	5.80660414609978	81354.9926535146	-81.685777460094
"23"	"short"	"DF"	2	109	"med"	"8"	"2070"	"andesite"	"10"	6443.68590031876	1.97321764040626	1.41681141563152	9.14376603940438	1124.8591822042	472.843783671851
"25"	"short"	"DF"	2	11	"med"	"0"	"hist"	"rhyolite"	"50"	4375.11404252932	1.50376525237685	1.43212322228485	7.70096426010132	1819.59037533261	140.444998052354
