"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"69"	"short"	"DF"	20	21	"high"	"0"	"hist"	"andesite"	"10"	1982.15834270227	1.87906635976577	1.5828775229954	8.65628925576267	1177.70349144268	68.3070787430656
"71"	"short"	"DF"	20	22	"high"	"0"	"hist"	"andesite"	"20"	3775.05707932828	1.79343094624594	1.65449642621238	8.93902064032025	2733.36627309921	38.1101799814026
"73"	"short"	"DF"	20	23	"high"	"0"	"hist"	"andesite"	"50"	3077.11924198146	1.66842913217771	1.40622176405262	9.23965222858688	2720.89015746933	13.0923728594561
"75"	"short"	"DF"	20	24	"high"	"0"	"hist"	"andesite"	"100"	1108.58174349662	2.71232914021356	2.24382432177663	8.0146675268809	859.940694885757	28.9137437139081
"77"	"short"	"DF"	20	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	4334.19008890498	1.33099094683675	1.25396805788789	6.55288618329972	1070.90545956177	304.722008857682
"79"	"short"	"DF"	20	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	4112.12210234949	1.73891501203327	1.64615673097697	6.47442733486996	6440.27799344171	-36.1499285195923
"81"	"short"	"DF"	20	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	5074.18550968083	1.62501563774283	1.54735523382059	6.87253491298572	4306.35502580145	17.8301714391622
"83"	"short"	"DF"	20	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	4630.44323561686	1.7603847777051	1.67406063648511	7.14966386638276	12077.0161417457	-61.6590457338949
"85"	"short"	"DF"	20	29	"low"	"4.5"	"2030"	"andesite"	"10"	2627.27345760419	2.02554522368988	1.7063312420249	8.87438612514072	1456.67151571701	80.3614218618796
"87"	"short"	"DF"	20	3	"low"	"0"	"hist"	"rhyolite"	"50"	429.483099083385	2.68001896641789	2.36342179087492	8.0289691289266	2658.04299077116	-83.8421312004897
"89"	"short"	"DF"	20	30	"low"	"4.5"	"2030"	"andesite"	"20"	2550.9228887387	1.65642708358629	1.42664101657768	8.164187428595	4556.62466929533	-44.0172699338612
"91"	"short"	"DF"	20	31	"low"	"4.5"	"2030"	"andesite"	"50"	3697.71421926465	1.73381266417072	1.43270450117106	8.47961548762985	1963.30975665256	88.3408467123016
"93"	"short"	"DF"	20	32	"low"	"4.5"	"2030"	"andesite"	"100"	2228.91950274237	2.62257825948121	2.21665737609709	9.45477716445923	7273.50447572641	-69.3556316603522
"95"	"short"	"DF"	20	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	2929.90293681085	2.09939885737658	1.93227709904313	6.78030215395559	1003.27749590197	192.033156208373
"97"	"short"	"DF"	20	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	4704.19200632801	1.61718262018081	1.52609856065476	7.16395257021251	8784.19774292644	-46.4471071348991
"99"	"short"	"DF"	20	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	4949.12855365753	1.89949848269013	1.77818081835285	7.66461921673195	5853.69310798159	-15.4528865391093
"101"	"short"	"DF"	20	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	1824.39138368665	2.18935221096951	1.77283737216802	7.12414781644311	8336.18284325673	-78.1147868516052
"103"	"short"	"DF"	20	37	"med"	"4.5"	"2030"	"andesite"	"10"	1828.81697470062	2.22512477126864	1.73078839156108	8.42746070579246	1324.97397163831	38.0266340205399
"105"	"short"	"DF"	20	38	"med"	"4.5"	"2030"	"andesite"	"20"	2384.94301636335	1.75046745413178	1.28668403586275	7.94991912324745	5115.24232819902	-53.3757569369534
"107"	"short"	"DF"	20	39	"med"	"4.5"	"2030"	"andesite"	"50"	3681.0187374861	1.98465426919722	1.74335854038082	7.74480515557366	2947.57596684395	24.882913244386
"109"	"short"	"DF"	20	4	"low"	"0"	"hist"	"rhyolite"	"100"	901.669068555814	1.62447422501349	1.54705971106887	5.65307575113633	771.290731500091	16.9039159594397
"111"	"short"	"DF"	20	40	"med"	"4.5"	"2030"	"andesite"	"100"	2282.96810571241	2.12329041762679	1.6717006152167	9.19699343103562	8120.35593546911	-71.8858616068715
"113"	"short"	"DF"	20	41	"high"	"4.5"	"2030"	"rhyolite"	"10"	4090.80073670695	1.89121502433243	1.58488306638442	7.28098760843277	1452.11329609225	181.713606487567
"115"	"short"	"DF"	20	42	"high"	"4.5"	"2030"	"rhyolite"	"20"	7624.49574797527	1.6827099248035	1.58961242404613	7.50479157964388	5984.74437132945	27.3988540680405
"117"	"short"	"DF"	20	43	"high"	"4.5"	"2030"	"rhyolite"	"50"	8103.56921438282	1.86324891702498	1.77376390460493	7.14523051049974	3194.2110898757	153.695481806688
"119"	"short"	"DF"	20	44	"high"	"4.5"	"2030"	"rhyolite"	"100"	4840.26472300864	1.80756474187696	1.66587925309668	7.19648629426956	8793.46174310092	-44.9560950577153
"121"	"short"	"DF"	20	45	"high"	"4.5"	"2030"	"andesite"	"10"	5079.92181583458	2.12242429612425	1.79960385772964	8.99215906649305	1270.41503014755	299.863170325102
"123"	"short"	"DF"	20	46	"high"	"4.5"	"2030"	"andesite"	"20"	3876.70378301949	1.89252000621579	1.48162744869478	8.46806925639772	6409.23121763735	-39.513747415582
"125"	"short"	"DF"	20	47	"high"	"4.5"	"2030"	"andesite"	"50"	4689.25559843263	2.33805704003848	2.01061170732545	8.83494441668192	3339.29624390332	40.4264628211403
"127"	"short"	"DF"	20	48	"high"	"4.5"	"2030"	"andesite"	"100"	5522.57558491972	2.02685100965138	1.76059892243057	9.18684779273139	7821.22000756973	-29.3898448122579
"129"	"short"	"DF"	20	49	"low"	"8"	"2030"	"rhyolite"	"10"	8293.02139652326	1.41673284455142	1.32927360243219	6.43702970256268	1400.78215472681	492.027915871088
"131"	"short"	"DF"	20	5	"low"	"0"	"hist"	"andesite"	"10"	1022.27111959844	2.14798232274094	1.82996965572238	8.20438465885088	1166.78015186307	-12.3852837258055
"133"	"short"	"DF"	20	50	"low"	"8"	"2030"	"rhyolite"	"20"	6173.05101230887	1.48359261012133	1.41405183195636	5.88570569703976	9848.14831429995	-37.3176477922725
"135"	"short"	"DF"	20	51	"low"	"8"	"2030"	"rhyolite"	"50"	11084.8605329204	1.2342868488387	1.18936672118268	5.7160335410725	3391.7773564673	226.815688883124
"137"	"short"	"DF"	20	52	"low"	"8"	"2030"	"rhyolite"	"100"	11056.4727879951	1.51517964891899	1.43712849620926	5.90847795738457	19618.9370413433	-43.6438744632512
"139"	"short"	"DF"	20	53	"low"	"8"	"2030"	"andesite"	"10"	4822.08461437218	1.94714687312278	1.71563255580816	8.73690065347923	1031.62814833351	367.424684190885
"141"	"short"	"DF"	20	54	"low"	"8"	"2030"	"andesite"	"20"	3947.01748834221	1.9930343071757	1.79357776696032	7.9924632188842	7685.89875860906	-48.6459864707285
"143"	"short"	"DF"	20	55	"low"	"8"	"2030"	"andesite"	"50"	8560.93970279064	1.49497389704934	1.39042041669118	8.07009236492328	2943.92643492778	190.800055368933
"145"	"short"	"DF"	20	56	"low"	"8"	"2030"	"andesite"	"100"	5959.34280477954	1.51673780815977	1.34903937727213	7.75527295088157	16155.3708863045	-63.1123120185902
"147"	"short"	"DF"	20	57	"med"	"8"	"2030"	"rhyolite"	"10"	5481.05488967799	1.72197399270651	1.54507412513097	7.08563346317836	1083.86243475353	405.696545422243
"149"	"short"	"DF"	20	58	"med"	"8"	"2030"	"rhyolite"	"20"	5064.55362311166	1.78691483176937	1.67704644547654	6.31399922768275	7844.44341863106	-35.4376932456034
"151"	"short"	"DF"	20	59	"med"	"8"	"2030"	"rhyolite"	"50"	6758.20463752675	1.82196558581386	1.67065743611139	6.27683508933127	5055.51704403968	33.679791377511
"153"	"short"	"DF"	20	6	"low"	"0"	"hist"	"andesite"	"20"	1019.36976420567	1.77962755109415	1.46181826644084	9.36340791423146	834.34517407879	22.1760244890452
"155"	"short"	"DF"	20	60	"med"	"8"	"2030"	"rhyolite"	"100"	12665.0618617233	1.45746373001234	1.38572521805763	6.79389600242887	15151.5289104449	-16.4106676192098
"157"	"short"	"DF"	20	61	"med"	"8"	"2030"	"andesite"	"10"	4188.53605709873	1.81868576532716	1.45133575314625	9.06845838480657	1566.34920305326	167.407551836723
"159"	"short"	"DF"	20	62	"med"	"8"	"2030"	"andesite"	"20"	4644.03084970374	1.804539817395	1.53917235857056	8.46262553434693	7506.32342620647	-38.1317512446872
"161"	"short"	"DF"	20	63	"med"	"8"	"2030"	"andesite"	"50"	7432.40952605484	1.96942727057719	1.78158974502958	8.55870340634318	2998.64927899825	147.85858013171
"163"	"short"	"DF"	20	64	"med"	"8"	"2030"	"andesite"	"100"	7476.29729389907	1.51931155319269	1.30240988731384	8.26215811758082	10135.8367871754	-26.238973151594
"165"	"short"	"DF"	20	65	"high"	"8"	"2030"	"rhyolite"	"10"	9309.47549798174	1.63988803760891	1.4378127044753	7.79327001040046	1054.80309939437	782.579459932088
"167"	"short"	"DF"	20	66	"high"	"8"	"2030"	"rhyolite"	"20"	9317.5251406053	1.77729678887269	1.70603487171045	6.7362220287323	11485.9775529729	-18.8791280704385
"169"	"short"	"DF"	20	67	"high"	"8"	"2030"	"rhyolite"	"50"	15916.6529235522	1.55184021048907	1.49259391433301	7.03966881387374	4491.6247828263	254.36292417856
"171"	"short"	"DF"	20	68	"high"	"8"	"2030"	"rhyolite"	"100"	17310.6529966217	1.42841411467406	1.33830099490201	6.92940116270469	13259.9231342818	30.5486677510765
"173"	"short"	"DF"	20	69	"high"	"8"	"2030"	"andesite"	"10"	9519.96516959307	1.66312492447297	1.38605993926864	10.7063744582052	1164.45513252856	717.546756732558
"175"	"short"	"DF"	20	7	"low"	"0"	"hist"	"andesite"	"50"	247.980203758907	2.56751268319639	2.03363584975402	8.05140339244496	1708.5353570579	-85.485802050598
"177"	"short"	"DF"	20	70	"high"	"8"	"2030"	"andesite"	"20"	7431.59244504065	1.6689268504044	1.4203724288877	8.57988855727883	9208.92947566005	-19.3001481368388
"179"	"short"	"DF"	20	71	"high"	"8"	"2030"	"andesite"	"50"	8307.21779631348	1.98532864317154	1.70110678442177	9.34218407603143	4390.00240866475	89.2303698949492
"181"	"short"	"DF"	20	72	"high"	"8"	"2030"	"andesite"	"100"	9375.07130461359	1.76711570308685	1.44314542515798	9.87993558115429	8163.76643938519	14.8375737378349
"183"	"short"	"DF"	20	73	"low"	"4.5"	"2070"	"rhyolite"	"10"	5928.33909450745	2.01937831471656	1.92846377394842	6.011586700425	956.719820792742	519.652584347547
"185"	"short"	"DF"	20	74	"low"	"4.5"	"2070"	"rhyolite"	"20"	11259.5335689228	1.40856018785325	1.34308076876343	6.19352627741663	8379.75278892834	34.3659395752021
"187"	"short"	"DF"	20	75	"low"	"4.5"	"2070"	"rhyolite"	"50"	11407.2316612256	1.49387068794412	1.45801575183868	5.71849035968383	11162.1131349604	2.19598675718057
"189"	"short"	"DF"	20	76	"low"	"4.5"	"2070"	"rhyolite"	"100"	7297.31405970501	1.58495638196378	1.4957005235332	6.08251764069141	28831.4045617775	-74.6897032225089
"191"	"short"	"DF"	20	77	"low"	"4.5"	"2070"	"andesite"	"10"	5769.74739424745	1.91454712654712	1.72808816219154	7.67185127669276	1372.90447157423	320.258474912798
"193"	"short"	"DF"	20	78	"low"	"4.5"	"2070"	"andesite"	"20"	7115.23856546345	1.2272397819592	1.06892399502951	8.10926519930363	4885.14492917288	45.6505112667794
"195"	"short"	"DF"	20	79	"low"	"4.5"	"2070"	"andesite"	"50"	5277.14987157268	1.68037091457325	1.57668758302495	7.21743479709035	9453.95601248335	-44.1805116862768
"197"	"short"	"DF"	20	8	"low"	"0"	"hist"	"andesite"	"100"	949.483427150763	2.19258734904541	1.94475494799289	8.30455920502946	329.565858324939	188.1012711622
"199"	"short"	"DF"	20	80	"low"	"4.5"	"2070"	"andesite"	"100"	5863.19830906356	1.98939135761602	1.83252937525511	8.49711567768152	24439.7720674169	-76.0096031465025
"201"	"short"	"DF"	20	81	"med"	"4.5"	"2070"	"rhyolite"	"10"	8805.50099113727	1.71376726979801	1.59664899273776	6.08049727419148	1508.8055613493	483.607405533595
"203"	"short"	"DF"	20	82	"med"	"4.5"	"2070"	"rhyolite"	"20"	10316.398837487	1.47547305834489	1.38227388427521	6.52387736570389	8275.84802255445	24.6566975296228
"205"	"short"	"DF"	20	83	"med"	"4.5"	"2070"	"rhyolite"	"50"	7028.03072316077	1.64868018711461	1.54839158486022	6.31076575936498	12352.7881978774	-43.1057133775806
"207"	"short"	"DF"	20	84	"med"	"4.5"	"2070"	"rhyolite"	"100"	7125.84306502421	1.54891544540513	1.42997155545486	6.24574140391567	12693.2806336956	-43.8612974008631
"209"	"short"	"DF"	20	85	"med"	"4.5"	"2070"	"andesite"	"10"	9927.12541204388	1.76152331901638	1.57516336886455	8.80179851315916	1525.94049376177	550.557833193834
"211"	"short"	"DF"	20	86	"med"	"4.5"	"2070"	"andesite"	"20"	9418.56119539048	1.49931732258663	1.29079691763036	8.75833377910658	5656.19963650014	66.5174817135407
"213"	"short"	"DF"	20	87	"med"	"4.5"	"2070"	"andesite"	"50"	5621.27936119507	1.79593111451111	1.60769070103152	7.98210004582463	8128.16406508305	-30.8419550074912
"215"	"short"	"DF"	20	88	"med"	"4.5"	"2070"	"andesite"	"100"	4037.71219723252	2.37548433433178	2.08716255953216	9.1857012597526	9207.98471832715	-56.1498816435257
"217"	"short"	"DF"	20	89	"high"	"4.5"	"2070"	"rhyolite"	"10"	12120.9660819792	1.48804591492245	1.36862286842532	6.85166338357058	1328.25595057476	812.54747074419
"219"	"short"	"DF"	20	9	"med"	"0"	"hist"	"rhyolite"	"10"	3798.09612065398	0.987185056750046	0.898276282707229	6.09341581784762	1302.55453514412	191.588261234201
"221"	"short"	"DF"	20	90	"high"	"4.5"	"2070"	"rhyolite"	"20"	22483.3580838694	1.43756795607127	1.37056398976826	6.92950925703858	13743.5177337381	63.5924551446999
"223"	"short"	"DF"	20	91	"high"	"4.5"	"2070"	"rhyolite"	"50"	10513.5134491232	1.64993112835318	1.5397048238044	6.90482396880786	10788.4812163411	-2.54871618816441
"225"	"short"	"DF"	20	92	"high"	"4.5"	"2070"	"rhyolite"	"100"	10791.7987321526	1.67456443660115	1.52709934085123	6.67730527402514	12404.8217312964	-13.0031937103482
"227"	"short"	"DF"	20	93	"high"	"4.5"	"2070"	"andesite"	"10"	7970.53085834726	1.95040330993672	1.63803187185083	10.0210830049483	1478.38969856406	439.135984652011
"229"	"short"	"DF"	20	94	"high"	"4.5"	"2070"	"andesite"	"20"	16603.8011622193	1.71150142865405	1.55417849224313	9.59159004431504	8263.33705513507	100.933364468066
"231"	"short"	"DF"	20	95	"high"	"4.5"	"2070"	"andesite"	"50"	6089.5203713007	2.20335010642509	1.81190711112383	9.40330868465885	9365.89487583274	-34.9819696672683
"233"	"short"	"DF"	20	96	"high"	"4.5"	"2070"	"andesite"	"100"	7535.10508364539	2.27528343143337	1.9716051702225	9.86211416967984	9791.79114809951	-23.0467136228914
"235"	"short"	"DF"	20	97	"low"	"8"	"2070"	"rhyolite"	"10"	18595.1440309831	1.71418286128072	1.68062739059621	5.14712078173955	1505.53386922393	1135.11960847273
"237"	"short"	"DF"	20	98	"low"	"8"	"2070"	"rhyolite"	"20"	10521.1669719883	1.58983448877451	1.47168599730507	5.83330005428247	14594.0835744812	-27.9079983454032
"239"	"short"	"DF"	20	99	"low"	"8"	"2070"	"rhyolite"	"50"	12476.225678075	1.86475685618367	1.80082212137842	5.08339076375765	11708.7152482481	6.55503540357888
