"rid"	"frost.short"	"frost.long"	"replicate"
"1"	1	49	43.5172413793103	17
"2"	5	49	43.5172413793103	17
"3"	9	45.6666666666667	39.2758620689655	17
"4"	13	45.6666666666667	39.2758620689655	17
"5"	17	41	34.3793103448276	17
"6"	21	41	34.3793103448276	17
"7"	25	37	33.1724137931034	17
"8"	29	37	33.1724137931034	17
"9"	33	28.6666666666667	28.2413793103448	17
"10"	37	28.6666666666667	28.2413793103448	17
"11"	41	23	23.0344827586207	17
"12"	45	23	23.0344827586207	17
"13"	49	31.6666666666667	26.3103448275862	17
"14"	53	31.6666666666667	26.3103448275862	17
"15"	57	27.6666666666667	22.8965517241379	17
"16"	61	27.6666666666667	22.8965517241379	17
"17"	65	23.6666666666667	19.3793103448276	17
"18"	69	23.6666666666667	19.3793103448276	17
"19"	73	19.6666666666667	22.551724137931	17
"20"	77	19.6666666666667	22.551724137931	17
"21"	81	17.3333333333333	19.6896551724138	17
"22"	85	17.3333333333333	19.6896551724138	17
"23"	89	14.6666666666667	16.8275862068966	17
"24"	93	14.6666666666667	16.8275862068966	17
"25"	97	11.6666666666667	14.551724137931	17
"26"	101	11.6666666666667	14.551724137931	17
"27"	105	11.6666666666667	12.8620689655172	17
"28"	109	11.6666666666667	12.8620689655172	17
"29"	113	9.33333333333333	10.9655172413793	17
"30"	117	9.33333333333333	10.9655172413793	17
"31"	2	39.6666666666667	42.8275862068966	17
"32"	6	39.6666666666667	42.8275862068966	17
"33"	10	34.6666666666667	38.4137931034483	17
"34"	14	34.6666666666667	38.4137931034483	17
"35"	18	30	33.3103448275862	17
"36"	22	30	33.3103448275862	17
"37"	26	34.6666666666667	31.551724137931	17
"38"	30	34.6666666666667	31.551724137931	17
"39"	34	30	27.6551724137931	17
"40"	38	30	27.6551724137931	17
"41"	42	22.3333333333333	23.1379310344828	17
"42"	46	22.3333333333333	23.1379310344828	17
"43"	50	23.6666666666667	25.0344827586207	17
"44"	54	23.6666666666667	25.0344827586207	17
"45"	58	19.6666666666667	22	17
"46"	62	19.6666666666667	22	17
"47"	66	19	18.5172413793103	17
"48"	70	19	18.5172413793103	17
"49"	74	22.6666666666667	22.7241379310345	17
"50"	78	22.6666666666667	22.7241379310345	17
"51"	82	19.6666666666667	19.551724137931	17
"52"	86	19.6666666666667	19.551724137931	17
"53"	90	16.3333333333333	16.7241379310345	17
"54"	94	16.3333333333333	16.7241379310345	17
"55"	98	16.3333333333333	14.2068965517241	17
"56"	102	16.3333333333333	14.2068965517241	17
"57"	106	15	12.2068965517241	17
"58"	110	15	12.2068965517241	17
"59"	114	13.6666666666667	10.448275862069	17
"60"	118	13.6666666666667	10.448275862069	17
"61"	3	39.3333333333333	41.9655172413793	17
"62"	7	39.3333333333333	41.9655172413793	17
"63"	11	35.6666666666667	36.5862068965517	17
"64"	15	35.6666666666667	36.5862068965517	17
"65"	19	32.3333333333333	31.5172413793103	17
"66"	23	32.3333333333333	31.5172413793103	17
"67"	27	33	29.9310344827586	17
"68"	31	33	29.9310344827586	17
"69"	35	27.6666666666667	26.1034482758621	17
"70"	39	27.6666666666667	26.1034482758621	17
"71"	43	21.6666666666667	21.5172413793103	17
"72"	47	21.6666666666667	21.5172413793103	17
"73"	51	32.3333333333333	27.0689655172414	17
"74"	55	32.3333333333333	27.0689655172414	17
"75"	59	27	23.4137931034483	17
"76"	63	27	23.4137931034483	17
"77"	67	25	20.0689655172414	17
"78"	71	25	20.0689655172414	17
"79"	75	22.3333333333333	23	17
"80"	79	22.3333333333333	23	17
"81"	83	18.6666666666667	19.7586206896552	17
"82"	87	18.6666666666667	19.7586206896552	17
"83"	91	15.3333333333333	17.2413793103448	17
"84"	95	15.3333333333333	17.2413793103448	17
"85"	99	19.3333333333333	16.0344827586207	17
"86"	103	19.3333333333333	16.0344827586207	17
"87"	107	17	14.5172413793103	17
"88"	111	17	14.5172413793103	17
"89"	115	14.3333333333333	12.5172413793103	17
"90"	119	14.3333333333333	12.5172413793103	17
"91"	4	43.3333333333333	46.5862068965517	17
"92"	8	43.3333333333333	46.5862068965517	17
"93"	12	39	41.6206896551724	17
"94"	16	39	41.6206896551724	17
"95"	20	34.3333333333333	35.2413793103448	17
"96"	24	34.3333333333333	35.2413793103448	17
"97"	28	33.6666666666667	32.7586206896552	17
"98"	32	33.6666666666667	32.7586206896552	17
"99"	36	28.6666666666667	28.4137931034483	17
"100"	40	28.6666666666667	28.4137931034483	17
"101"	44	25.3333333333333	23.551724137931	17
"102"	48	25.3333333333333	23.551724137931	17
"103"	52	31.3333333333333	27.4137931034483	17
"104"	56	31.3333333333333	27.4137931034483	17
"105"	60	26	23.7931034482759	17
"106"	64	26	23.7931034482759	17
"107"	68	24.6666666666667	19.3103448275862	17
"108"	72	24.6666666666667	19.3103448275862	17
"109"	76	30	24.0344827586207	17
"110"	80	30	24.0344827586207	17
"111"	84	25.6666666666667	20.8620689655172	17
"112"	88	25.6666666666667	20.8620689655172	17
"113"	92	23	17.0344827586207	17
"114"	96	23	17.0344827586207	17
"115"	100	17.6666666666667	14.5862068965517	17
"116"	104	17.6666666666667	14.5862068965517	17
"117"	108	12.6666666666667	12.6551724137931	17
"118"	112	12.6666666666667	12.6551724137931	17
"119"	116	9.33333333333333	10.8965517241379	17
"120"	120	9.33333333333333	10.8965517241379	17
