"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	13.2000063082437	12.4699134134223	392.633333333333	403.958620689655	-0.249263738476721	-0.20495950098032	31.6039636386205	31.2985822495058	9
"2"	5	13.2000063082437	12.4699134134223	392.633333333333	403.958620689655	-0.191049726348719	-0.147824253845893	50.8103082731979	50.9256919786785	9
"3"	9	11.6626322724014	10.903847381535	868.666666666667	909.344827586207	-0.198225804205406	-0.153051482075479	33.8036626578716	34.5682204068901	9
"4"	13	11.6626322724014	10.903847381535	868.666666666667	909.344827586207	-0.134492594755773	-0.103690820339564	53.3331553739183	54.6348616231217	9
"5"	17	9.81451070967742	9.07182927549129	1176	1251	-0.122722098967081	-0.0595181923712278	36.7424775974091	38.3351541766867	9
"6"	21	9.81451070967742	9.07182927549129	1176	1251	-0.0757178507074529	-0.0410584323628644	57.5611707348866	59.394633830493	9
"7"	25	14.0566206738351	14.4590224783092	489.333333333333	420.365517241379	-0.124228382189599	-0.263463496781961	33.5868646587318	30.3390233682362	9
"8"	29	14.0566206738351	14.4590224783092	489.333333333333	420.365517241379	-0.0716839158682586	-0.190913111291825	54.3895075220911	49.6766769407898	9
"9"	33	12.3974764587814	12.8727232020764	1072.96666666667	975.289655172414	-0.088880826782385	-0.197877769334029	36.4077872469216	33.8584420942301	9
"10"	37	12.3974764587814	12.8727232020764	1072.96666666667	975.289655172414	-0.0481004228516363	-0.137517807007485	57.414338067245	53.9547400567104	9
"11"	41	10.4884909247312	11.0327768246199	1499.2	1345.92068965517	-0.0295858324498089	-0.077106389102025	39.1018643914707	37.4218128360341	9
"12"	45	10.4884909247312	11.0327768246199	1499.2	1345.92068965517	-0.0203719155226263	-0.0489738428106314	60.4613585692992	58.4660812320257	9
"13"	49	16.6768388530466	15.0260284760845	295.333333333333	406.872413793103	-0.478788693053268	-0.322783209547608	26.2755172635184	29.1013100296041	9
"14"	53	16.6768388530466	15.0260284760845	295.333333333333	406.872413793103	-0.391401061522657	-0.254679939396599	44.1459224979193	47.8600526996347	9
"15"	57	15.1681093189964	13.5048949276974	795.3	955.262068965517	-0.474033017133947	-0.266886619273463	29.0739192715636	32.4661041870907	9
"16"	61	15.1681093189964	13.5048949276974	795.3	955.262068965517	-0.397502184401268	-0.205821559575747	47.1868548977375	51.8709065315027	9
"17"	65	13.3375467956989	11.6826052843901	1134.96666666667	1313.81724137931	-0.307583630966743	-0.125014038226618	32.3759230873858	36.4511880409385	9
"18"	69	13.3375467956989	11.6826052843901	1134.96666666667	1313.81724137931	-0.229306180958137	-0.08320707439696	51.8017961372	57.0557799144811	9
"19"	73	14.5744391684588	15.240247185762	550.733333333333	476.913793103448	-0.276502098510666	-0.298804017216974	31.1341642532987	30.12244200785	9
"20"	77	14.5744391684588	15.240247185762	550.733333333333	476.913793103448	-0.217783628273645	-0.232181055653104	50.0635824779163	49.0200332161016	9
