"rid"	"temp.short"	"temp.long"	"prec.short"	"prec.long"	"potential.short"	"potential.long"	"content.short"	"content.long"	"replicate"
"1"	1	13.1025258781362	12.126620263997	428.7	390.906896551724	-0.28543910184385	-0.225392018413438	30.1345408569076	31.1788653833233	17
"2"	5	13.1025258781362	12.126620263997	428.7	390.906896551724	-0.24127527476067	-0.16993631902588	48.6315034293506	50.6313763703046	17
"3"	9	11.4417182939068	10.5406137901372	1026	881.027586206897	-0.101375899970938	-0.130396243278291	34.5137430098444	35.2325493420189	17
"4"	13	11.4417182939068	10.5406137901372	1026	881.027586206897	-0.0451315061373649	-0.0836476444004184	55.5277504273471	55.7891297917126	17
"5"	17	9.64413056630824	8.67985423804227	1427	1207.53448275862	-0.0213756919185779	-0.0555141915440157	39.3550044371372	38.6206275786428	17
"6"	21	9.64413056630824	8.67985423804227	1427	1207.53448275862	-0.0190994404145689	-0.0367141479686582	60.5417418483831	59.6866102522839	17
"7"	25	15.1030450322581	14.2798198665184	376.9	421.193103448276	-0.371294348949946	-0.258110631302386	28.7931865761452	30.4823919738721	17
"8"	29	15.1030450322581	14.2798198665184	376.9	421.193103448276	-0.258380445837864	-0.185333274075291	47.9357713167973	50.0657895134264	17
"9"	33	13.4914660501792	12.7431984946237	904.3	962.551724137931	-0.279693623949214	-0.21738718441449	32.4673032014971	33.5734277722373	17
"10"	37	13.4914660501792	12.7431984946237	904.3	962.551724137931	-0.211626873784129	-0.156723825107235	52.2021460145361	53.7031210244454	17
"11"	41	11.6671078136201	10.924292836485	1235.06666666667	1309.50344827586	-0.202050410353841	-0.118281283169905	34.5182085885553	36.9878912562902	17
"12"	45	11.6671078136201	10.924292836485	1235.06666666667	1309.50344827586	-0.147805425982139	-0.0879144790836592	54.6287457197604	57.745926108031	17
"13"	49	15.046814078853	14.983266315165	451.033333333333	414.355172413793	-0.284616695817943	-0.32785906916157	29.7190783768364	29.1819830457895	17
"14"	53	15.046814078853	14.983266315165	451.033333333333	414.355172413793	-0.218643792214726	-0.253717258146909	48.7957875491019	48.2476622816214	17
"15"	57	13.5725748387097	13.4752514393771	1006.3	972.165517241379	-0.158215866083916	-0.275574599062734	34.3844520351492	32.2163127932644	17
"16"	61	13.5725748387097	13.4752514393771	1006.3	972.165517241379	-0.0926498746309409	-0.210478233964014	55.1738338330991	51.6587593949925	17
"17"	65	11.7933284444444	11.6594895543196	1384.3	1341.06551724138	-0.113103481494294	-0.119392114389449	37.0580633704312	36.2366283769858	17
"18"	69	11.7933284444444	11.6594895543196	1384.3	1341.06551724138	-0.066115464024016	-0.0801159161038088	57.975419773431	56.9119584788794	17
"19"	73	16.1837708817204	15.0761204657026	363.6	453.589655172414	-0.449066567912573	-0.337645160300752	27.3900468023287	29.0196901768458	17
"20"	77	16.1837708817204	15.0761204657026	363.6	453.589655172414	-0.360508073210087	-0.269391403737024	44.7895934602035	47.263699578862	17
"21"	81	14.6997692043011	13.6109879347423	864.133333333333	1074.0724137931	-0.334718173060761	-0.259722486120259	31.4105386427027	32.3243724956634	17
"22"	85	14.6997692043011	13.6109879347423	864.133333333333	1074.0724137931	-0.272977424527955	-0.197584784992585	49.9428107327903	51.3310342596714	17
"23"	89	12.9372611182796	11.7934195728587	1199.1	1493.51034482759	-0.223865877892253	-0.104724654402175	33.7635736401097	36.6274569715712	17
