"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"69"	"short"	"LPS"	9	21	"high"	"0"	"hist"	"andesite"	"10"	3568.74943630432	1.53830136591637	0.954395605384471	7.78657053572233	42861.0839533923	-91.6736836609522
"71"	"short"	"LPS"	9	22	"high"	"0"	"hist"	"andesite"	"20"	2192.5712004727	2.10751024301335	1.15947796263036	8.37693725112412	43273.3859081053	-94.9332108998154
"73"	"short"	"LPS"	9	23	"high"	"0"	"hist"	"andesite"	"50"	51874.7634218006	1.38378075163263	1.23370005025727	9.11366045311613	20191.5782689939	156.912870954022
"75"	"short"	"LPS"	9	24	"high"	"0"	"hist"	"andesite"	"100"	1683.58080553168	2.19677463865876	1.14758026513027	7.57086575074629	6431.84123860589	-73.8242791904392
"77"	"short"	"LPS"	9	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	1157.35572351771	1.57554182944268	1.09697664681441	6.32216677125895	42331.6106536452	-97.2659775859059
"79"	"short"	"LPS"	9	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	1933.90448789109	1.30677491806482	0.960702334404594	6.40193260006788	6151.33399067648	-68.5612179273261
"81"	"short"	"LPS"	9	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	45232.7330356235	1.0656717037711	0.995098159751825	7.45711086420841	25230.122069474	79.2806745487397
"83"	"short"	"LPS"	9	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	44282.9509051566	1.12587766036835	1.0271940398842	6.73215738328197	9865.12818125604	348.883684950949
"85"	"short"	"LPS"	9	29	"low"	"4.5"	"2030"	"andesite"	"10"	1144.59984461307	2.22892209377539	1.34991522831842	7.75826632141308	43260.2251745906	-97.3541519028307
"87"	"short"	"LPS"	9	3	"low"	"0"	"hist"	"rhyolite"	"50"	788.187671215372	1.60282851361445	1.08564684332277	6.59424436092377	19198.8137075811	-95.8946022227189
"89"	"short"	"LPS"	9	30	"low"	"4.5"	"2030"	"andesite"	"20"	2526.98226083433	1.57627396616668	1.035898566309	7.72961939783657	5147.40214777794	-50.9076192555658
"91"	"short"	"LPS"	9	31	"low"	"4.5"	"2030"	"andesite"	"50"	36338.4582944879	1.45765398626842	1.30433656742907	8.96777347294808	35064.7290162153	3.63250854636174
"93"	"short"	"LPS"	9	32	"low"	"4.5"	"2030"	"andesite"	"100"	39422.3422374771	1.45854940059172	1.30163203403336	8.26006862286046	10748.638815477	266.765903238956
"95"	"short"	"LPS"	9	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	1489.36432767412	1.73007620672742	1.19821906541528	6.98018296095577	43399.2370976962	-96.5682246341764
"97"	"short"	"LPS"	9	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	2757.57121559926	1.33076189985135	0.906581550055814	6.66868757379466	5675.00202869512	-51.408454100001
"99"	"short"	"LPS"	9	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	64966.2288024226	1.14848325819233	1.04728276018848	7.89583974793553	7061.17513182624	820.048399728903
"101"	"short"	"LPS"	9	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	50338.4101681901	1.32157039715184	1.16094167625145	7.46811362436031	5459.25727773645	822.074333691445
"103"	"short"	"LPS"	9	37	"med"	"4.5"	"2030"	"andesite"	"10"	1384.75126008262	2.428253826561	1.47936068105497	8.39505004380879	42507.3783304897	-96.7423272982955
"105"	"short"	"LPS"	9	38	"med"	"4.5"	"2030"	"andesite"	"20"	2879.43144270612	1.56963739221295	1.01350130274734	8.00632113869013	11365.9768794381	-74.6662211858337
"107"	"short"	"LPS"	9	39	"med"	"4.5"	"2030"	"andesite"	"50"	39681.1654487055	1.6436454998405	1.42150071498212	8.88548374760921	17999.3971645358	120.458302497426
"109"	"short"	"LPS"	9	4	"low"	"0"	"hist"	"rhyolite"	"100"	32685.6092398259	1.06846204514071	0.939214629555832	6.46870484037364	7067.69378036926	362.464988658835
"111"	"short"	"LPS"	9	40	"med"	"4.5"	"2030"	"andesite"	"100"	35911.4240571086	1.74376527519595	1.49126322411602	8.56435856859411	7427.81907451066	383.471981437222
"113"	"short"	"LPS"	9	41	"high"	"4.5"	"2030"	"rhyolite"	"10"	2369.17224119587	1.61155875914473	1.11743046701512	7.12089217626132	43262.6987706188	-94.52375300543
"115"	"short"	"LPS"	9	42	"high"	"4.5"	"2030"	"rhyolite"	"20"	3106.27090369499	1.4691432023794	1.00036538402364	6.99275590853436	5564.18470151766	-44.1738355154217
"117"	"short"	"LPS"	9	43	"high"	"4.5"	"2030"	"rhyolite"	"50"	57246.1220161328	1.21955212554556	1.04912717376138	8.08313408394928	8296.69084913146	589.987406510701
"119"	"short"	"LPS"	9	44	"high"	"4.5"	"2030"	"rhyolite"	"100"	38563.9567651312	1.56556022022465	1.28217388144619	7.75256968753354	5357.01055270835	619.878304992968
"121"	"short"	"LPS"	9	45	"high"	"4.5"	"2030"	"andesite"	"10"	2963.11468157031	1.98239189296922	1.31051211210797	8.54999154090881	42778.9658868932	-93.0734307851089
"123"	"short"	"LPS"	9	46	"high"	"4.5"	"2030"	"andesite"	"20"	3353.01043198425	1.84567725123264	1.14125999035962	8.12918432224432	18672.6551580718	-82.0432048704395
"125"	"short"	"LPS"	9	47	"high"	"4.5"	"2030"	"andesite"	"50"	35131.6960120078	1.75246219056558	1.36672752041824	9.23179610597159	12111.1812934137	190.076542996785
"127"	"short"	"LPS"	9	48	"high"	"4.5"	"2030"	"andesite"	"100"	29787.5935152538	2.11313728491081	1.58865484993979	7.78091389821848	4024.16901577782	640.217257239037
"129"	"short"	"LPS"	9	49	"low"	"8"	"2030"	"rhyolite"	"10"	1334.72321705599	1.56137599557577	1.05092490766674	6.45815441721962	42958.9640917564	-96.8930274617303
"131"	"short"	"LPS"	9	5	"low"	"0"	"hist"	"andesite"	"10"	1269.14162867351	1.58785413116932	1.03942498731836	7.31000387776005	43002.986121812	-97.0487127915292
"133"	"short"	"LPS"	9	50	"low"	"8"	"2030"	"rhyolite"	"20"	1375.32882465642	1.39245603857931	0.918351607961402	6.35209735234578	6374.88350453105	-78.4258202729683
"135"	"short"	"LPS"	9	51	"low"	"8"	"2030"	"rhyolite"	"50"	53650.6793394618	0.783006537337415	0.750553042670033	7.01368986225507	19861.5404612952	170.123455146959
"137"	"short"	"LPS"	9	52	"low"	"8"	"2030"	"rhyolite"	"100"	40825.5791327639	0.89344810821023	0.826123915474803	7.29329840505034	7247.99766795759	463.267001495436
"139"	"short"	"LPS"	9	53	"low"	"8"	"2030"	"andesite"	"10"	1588.21954449085	1.60797452329296	1.01531446122332	7.69101867269962	42620.9931195161	-96.2736214521393
"141"	"short"	"LPS"	9	54	"low"	"8"	"2030"	"andesite"	"20"	1549.6061088151	1.64865512429532	1.01279730083254	7.90321106010384	5111.32587426614	-69.6828935009433
"143"	"short"	"LPS"	9	55	"low"	"8"	"2030"	"andesite"	"50"	47134.5352545011	1.03448258592066	0.970978556183728	8.68549641298289	26904.441270835	75.1923958576905
