"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"1"	"short"	"LP"	13	1	"low"	"0"	"hist"	"rhyolite"	"10"	546.984778051395	2.18577089885848	1.15897273858247	6.94910638602739	329.329426060439	66.0904658884053
"3"	"short"	"LP"	13	10	"med"	"0"	"hist"	"rhyolite"	"20"	1950.00799850858	1.46944141476205	0.957742334182541	7.27304170101504	1468.32458863201	32.804967893737
"5"	"short"	"LP"	13	100	"low"	"8"	"2070"	"rhyolite"	"100"	1652.20125530476	1.3444689772237	0.957019084047868	6.16145160333897	2519.48677005052	-34.4231025562549
"7"	"short"	"LP"	13	101	"low"	"8"	"2070"	"andesite"	"10"	1372.35301089063	1.77384877162643	1.06640337064888	7.58227468657014	336.63022547345	307.673734276385
"9"	"short"	"LP"	13	102	"low"	"8"	"2070"	"andesite"	"20"	1411.24663541013	1.75427810717219	1.05575721612097	7.49879811324325	1277.82401073823	10.4413928327121
"11"	"short"	"LP"	13	103	"low"	"8"	"2070"	"andesite"	"50"	2434.42952376444	1.32445340130196	0.798127788033464	7.30220196089769	3665.30263356857	-33.5817593486336
"13"	"short"	"LP"	13	104	"low"	"8"	"2070"	"andesite"	"100"	1865.77546616777	1.62114382685582	0.996854560739712	7.39676443168095	3307.29620632254	-43.5860790877765
"15"	"short"	"LP"	13	105	"med"	"8"	"2070"	"rhyolite"	"10"	1575.7627660795	1.58385028244944	1.056790702545	7.03176092929977	338.862480350471	365.015414055211
"17"	"short"	"LP"	13	106	"med"	"8"	"2070"	"rhyolite"	"20"	1624.14778093375	1.47168271243398	0.939056591308883	6.70614680926005	1409.10327528554	15.2610890500295
"19"	"short"	"LP"	13	107	"med"	"8"	"2070"	"rhyolite"	"50"	2152.73805604251	1.30599133346654	0.846455785201889	7.14747274605332	3466.31149003334	-37.8954239331271
"21"	"short"	"LP"	13	108	"med"	"8"	"2070"	"rhyolite"	"100"	1859.78424325194	1.36021551383296	0.918969195143113	7.13580973220594	2557.35260772089	-27.276972380067
"23"	"short"	"LP"	13	109	"med"	"8"	"2070"	"andesite"	"10"	1655.62130762098	2.08245336127287	1.25673845127931	8.37690094610055	336.915109491947	391.406072620958
"25"	"short"	"LP"	13	11	"med"	"0"	"hist"	"rhyolite"	"50"	1570.25314134583	1.57861876609413	0.974368940709499	7.05658167447799	3114.70982652472	-49.5858931071645
"27"	"short"	"LP"	13	110	"med"	"8"	"2070"	"andesite"	"20"	1594.97631907721	2.04462577028509	1.11474680377583	8.45699893838108	1767.34364754155	-9.75290395300927
"29"	"short"	"LP"	13	111	"med"	"8"	"2070"	"andesite"	"50"	2655.07048798318	1.74104741308222	1.12972699576844	8.18667829451354	3069.29569926492	-13.4957740103353
"31"	"short"	"LP"	13	112	"med"	"8"	"2070"	"andesite"	"100"	2111.84573574653	1.75788327279603	1.0961524793819	8.01433740157892	2852.70525121665	-25.9704193117794
"33"	"short"	"LP"	13	113	"high"	"8"	"2070"	"rhyolite"	"10"	2056.96766266117	1.58217269656136	0.980058521423357	7.46450557633844	338.206828674831	508.198146300245
"35"	"short"	"LP"	13	114	"high"	"8"	"2070"	"rhyolite"	"20"	1811.52423968999	1.57466108465009	0.917064489311118	7.35626542117145	1584.67478816457	14.3152054427631
"37"	"short"	"LP"	13	115	"high"	"8"	"2070"	"rhyolite"	"50"	2525.63618686737	1.42216847992344	0.957560322601843	7.40498436021281	3220.36804105708	-21.5730576546667
"39"	"short"	"LP"	13	116	"high"	"8"	"2070"	"rhyolite"	"100"	2765.2105407825	1.43656753998811	0.953286000502593	7.28681778794781	2312.05101367027	19.5998931006654
"41"	"short"	"LP"	13	117	"high"	"8"	"2070"	"andesite"	"10"	2533.68657186109	1.88177060620676	1.12280854869163	8.72348828654987	332.291070076883	662.490117858076
"43"	"short"	"LP"	13	118	"high"	"8"	"2070"	"andesite"	"20"	1912.98409482314	2.10567558812105	1.26638216771887	8.66525297011099	2090.16196188078	-8.47675301191525
"45"	"short"	"LP"	13	119	"high"	"8"	"2070"	"andesite"	"50"	3384.77709062466	1.70128007419758	1.14812426023204	8.54855559088967	4190.26883625519	-19.2229133047795
"47"	"short"	"LP"	13	12	"med"	"0"	"hist"	"rhyolite"	"100"	1429.55497445123	1.72045346314008	1.00519133044481	7.23998730502478	2946.11026407021	-51.4765284963836
"49"	"short"	"LP"	13	120	"high"	"8"	"2070"	"andesite"	"100"	3131.68443587365	1.76035900655243	1.13027225116417	8.4657104857349	2752.8027228731	13.7634894739246
"51"	"short"	"LP"	13	13	"med"	"0"	"hist"	"andesite"	"10"	2358.08434934398	1.99791775730356	1.25534643885858	8.80295766427599	335.755938610884	602.320965371465
"53"	"short"	"LP"	13	14	"med"	"0"	"hist"	"andesite"	"20"	1613.00495195253	2.19821954591541	1.27867834415569	8.44401415073929	2001.32892995993	-19.4033060829825
"55"	"short"	"LP"	13	15	"med"	"0"	"hist"	"andesite"	"50"	1824.25065761284	2.02829670215778	1.23195322575009	8.49560377836227	3324.24839274028	-45.1229137510673
"57"	"short"	"LP"	13	16	"med"	"0"	"hist"	"andesite"	"100"	1720.83523777765	2.08062615172054	1.11562211454517	8.4961241224077	3278.78695157357	-47.5161008265028
"59"	"short"	"LP"	13	17	"high"	"0"	"hist"	"rhyolite"	"10"	3074.67422030593	1.39775321870059	0.878645476612184	7.34053694284879	332.491895732144	824.736590507125
"61"	"short"	"LP"	13	18	"high"	"0"	"hist"	"rhyolite"	"20"	2941.42719390375	1.37482536832525	0.926261163939386	7.06309348483418	1785.1236183636	64.7744259078327
"63"	"short"	"LP"	13	19	"high"	"0"	"hist"	"rhyolite"	"50"	2449.1724875688	1.49838810868513	0.956929548258155	6.98477231805975	3069.86971975659	-20.2190089108084
