"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"75"	"long"	"LPS"	3	24	"high"	"0"	"hist"	"andesite"	"100"	25056.5358019873	1.8614700035145	1.00835863458259	8.24955631707742	4129.35225511518	506.790950589135
"77"	"long"	"LPS"	3	25	"low"	"4.5"	"2030"	"rhyolite"	"10"	0	NA	0	0	42710.5181380227	-100
"79"	"long"	"LPS"	3	26	"low"	"4.5"	"2030"	"rhyolite"	"20"	42.7846544919733	0.510173362389728	0.347934994432661	7.28924751281738	6422.79796255201	-99.333862675715
"81"	"long"	"LPS"	3	27	"low"	"4.5"	"2030"	"rhyolite"	"50"	49819.7351731294	0.713882252799126	0.655482728400068	8.3321287436976	29602.7364197338	68.2943578821262
"83"	"long"	"LPS"	3	28	"low"	"4.5"	"2030"	"rhyolite"	"100"	0	NA	0	0	8654.63895692003	-100
"85"	"long"	"LPS"	3	29	"low"	"4.5"	"2030"	"andesite"	"10"	6.48687212107158	0.765773273103504	0.190085917711258	3.92449617385864	42739.5677076304	-99.9848223263149
"87"	"long"	"LPS"	3	3	"low"	"0"	"hist"	"rhyolite"	"50"	30054.8568100717	0.717853665583241	0.666718917101929	7.98504055341085	28816.276538962	4.29819678276312
"89"	"long"	"LPS"	3	30	"low"	"4.5"	"2030"	"andesite"	"20"	76.7987959272211	0.608831652832621	0.495566928014159	9.1941614151001	5482.95175859188	-98.5993165851427
"91"	"long"	"LPS"	3	31	"low"	"4.5"	"2030"	"andesite"	"50"	42799.6257521875	1.12940705804295	1.03161220392212	9.43639765946678	32966.3388016497	29.828265157688
"93"	"long"	"LPS"	3	32	"low"	"4.5"	"2030"	"andesite"	"100"	25.9127733705976	0.287382301568937	0.102646701037884	4.88965845108032	9601.73491697183	-99.7301240495111
"95"	"long"	"LPS"	3	33	"med"	"4.5"	"2030"	"rhyolite"	"10"	0	NA	0	0	42807.3449426595	-100
"97"	"long"	"LPS"	3	34	"med"	"4.5"	"2030"	"rhyolite"	"20"	102.557765790053	0.581421172271527	0.505708567443348	8.2706241607666	5565.75690211599	-98.157343779225
"99"	"long"	"LPS"	3	35	"med"	"4.5"	"2030"	"rhyolite"	"50"	52925.4013434028	1.08071293428173	0.927602725167388	8.74943599461589	18373.3139164748	188.055826967317
"101"	"long"	"LPS"	3	36	"med"	"4.5"	"2030"	"rhyolite"	"100"	28351.9316097755	1.38286263784726	0.899342958079061	7.37794262384873	3548.02145343953	699.091324047394
"103"	"long"	"LPS"	3	37	"med"	"4.5"	"2030"	"andesite"	"10"	0	NA	0	0	41906.6938316427	-100
"105"	"long"	"LPS"	3	38	"med"	"4.5"	"2030"	"andesite"	"20"	196.094263758227	0.815901504790636	0.738490101556445	8.32845616340637	11639.9469774506	-98.3153337026525
"107"	"long"	"LPS"	3	39	"med"	"4.5"	"2030"	"andesite"	"50"	43248.6318379865	1.32593933770021	1.09283019286656	10.4798428399603	19713.0812648195	119.390521740349
"109"	"long"	"LPS"	3	4	"low"	"0"	"hist"	"rhyolite"	"100"	25563.5478559986	0.774915384324746	0.626943837325115	7.8183463526316	5969.88332243686	328.208500489818
"111"	"long"	"LPS"	3	40	"med"	"4.5"	"2030"	"andesite"	"100"	20447.346821575	2.10291457815493	1.16967290464388	7.42617000845612	6991.46965771538	192.461353944524
"113"	"long"	"LPS"	3	41	"high"	"4.5"	"2030"	"rhyolite"	"10"	5.67422208138023	1.10716871917248	1.10716871917248	0	42078.8879606184	-99.9865152755779
"115"	"long"	"LPS"	3	42	"high"	"4.5"	"2030"	"rhyolite"	"20"	287.438589469435	0.53980369679209	0.482926242752001	8.65731382369995	5168.04969044452	-94.4381612661175
"117"	"long"	"LPS"	3	43	"high"	"4.5"	"2030"	"rhyolite"	"50"	67375.9302390338	1.03770177249577	0.888670954247334	9.29829408136045	10568.1114713002	537.539927753471
"119"	"long"	"LPS"	3	44	"high"	"4.5"	"2030"	"rhyolite"	"100"	33987.6642853571	1.4823209844829	0.882479641549491	7.23165628063344	4725.19254074467	619.286335790262
"121"	"long"	"LPS"	3	45	"high"	"4.5"	"2030"	"andesite"	"10"	87.8606554334333	1.1047097241052	0.986614400676141	11.3625469207764	43282.9200506075	-99.7970084843381
"123"	"long"	"LPS"	3	46	"high"	"4.5"	"2030"	"andesite"	"20"	189.645997460754	1.01319933715076	0.850129559636116	8.5815122127533	17899.1147176092	-98.9404727526877
"125"	"long"	"LPS"	3	47	"high"	"4.5"	"2030"	"andesite"	"50"	41016.4838562486	1.55665229789922	1.21366104833985	10.6176015900418	24574.7655118786	66.9048839404903
"127"	"long"	"LPS"	3	48	"high"	"4.5"	"2030"	"andesite"	"100"	26993.9038783413	2.00523346094451	1.06372023828497	8.25939335058932	6764.47924673811	299.05368756003
"129"	"long"	"LPS"	3	49	"low"	"8"	"2030"	"rhyolite"	"10"	2.1247427280348	0.654272139072418	0.654272139072418	0	42834.1420103252	-99.9950396047911
"131"	"long"	"LPS"	3	5	"low"	"0"	"hist"	"andesite"	"10"	0	NA	0	0	42783.4516991629	-100
"133"	"long"	"LPS"	3	50	"low"	"8"	"2030"	"rhyolite"	"20"	102.620416763535	0.391476629813459	0.324926685076207	7.15430974960327	6478.06044429376	-98.4158774428551
"135"	"long"	"LPS"	3	51	"low"	"8"	"2030"	"rhyolite"	"50"	6.48687212107158	1.02545258847771	0.165469631552696	5.74406909942627	21069.647320445	-99.9692122415605
"137"	"long"	"LPS"	3	52	"low"	"8"	"2030"	"rhyolite"	"100"	67646.2045834643	0.613627722760389	0.51247563750922	7.26055714928892	9420.79100447351	618.052279806889
"139"	"long"	"LPS"	3	53	"low"	"8"	"2030"	"andesite"	"10"	0.366296571712405	1.30779993534088	1.30779993534088	0	42568.9603920232	-99.9991395219232
"141"	"long"	"LPS"	3	54	"low"	"8"	"2030"	"andesite"	"20"	0	NA	0	0	5405.15537692976	-100
"143"	"long"	"LPS"	3	55	"low"	"8"	"2030"	"andesite"	"50"	7.69715030281447	1.38402593632539	1.38402593632539	0	32962.7911692286	-99.9766489728879
"145"	"long"	"LPS"	3	56	"low"	"8"	"2030"	"andesite"	"100"	52167.8810314452	1.19071765893219	1.083503714268	9.55793448722724	12483.6734670422	317.888862354274
"147"	"long"	"LPS"	3	57	"med"	"8"	"2030"	"rhyolite"	"10"	0	NA	0	0	42955.2179836213	-100
"149"	"long"	"LPS"	3	58	"med"	"8"	"2030"	"rhyolite"	"20"	0	NA	0	0	5805.0748262075	-100
"151"	"long"	"LPS"	3	59	"med"	"8"	"2030"	"rhyolite"	"50"	68526.7304167917	1.4740749856691	1.4618354423508	4.60316834646218	26855.6601770799	155.166806419737
"153"	"long"	"LPS"	3	6	"low"	"0"	"hist"	"andesite"	"20"	0	NA	0	0	5380.69093994051	-100
"155"	"long"	"LPS"	3	60	"med"	"8"	"2030"	"rhyolite"	"100"	38966.9349681881	1.11728708005467	0.793955263188304	7.10304383653728	5939.7999279679	556.031102743208
"157"	"long"	"LPS"	3	61	"med"	"8"	"2030"	"andesite"	"10"	0	NA	0	0	43199.2007365192	-100
"159"	"long"	"LPS"	3	62	"med"	"8"	"2030"	"andesite"	"20"	1.82767034156313	0.759547501802444	0.759547501802444	0	11965.1090320989	-99.9847250005273
"161"	"long"	"LPS"	3	63	"med"	"8"	"2030"	"andesite"	"50"	75077.6404825559	1.1037024255218	1.05402858263936	11.0524063770489	23358.1327251317	221.419701506267
"163"	"long"	"LPS"	3	64	"med"	"8"	"2030"	"andesite"	"100"	29074.5990046085	1.5871732053287	0.969458731181851	7.12218248423504	8106.20720044789	258.670809734571
"165"	"long"	"LPS"	3	65	"high"	"8"	"2030"	"rhyolite"	"10"	15.7349796807414	1.29252328723669	1.29252328723669	0	43041.012610415	-99.96344189245
"167"	"long"	"LPS"	3	66	"high"	"8"	"2030"	"rhyolite"	"20"	3.19734383074075	0.34507218003273	0.34507218003273	0	5171.67126278645	-99.9381758107143
